កក់ក្ដៅ	កក់ក្ដៅ	ក・ក・់・ក・្・ដ・ៅ
កាកល័ក្ដ	កាកល័ក្ដ	ក・ា・ក・ល・័・ក・្・ដ
កាត់ក្ដី	កាត់|ក្ដី	ក・ា・ត・់・ក・្・ដ・ី
កាំជ្រួចទឹកក្ដៅ	កាំ|ជ្រួច|ទឹក|ក្ដៅ	ក・ា・ំ・ជ・្・រ・ួ・ច・ទ・ឹ・ក・ក・្・ដ・ៅ
កើតក្ដី	កើត|ក្ដី	ក・ើ・ត・ក・្・ដ・ី
ក្ដ	ក្ដ	ក・្・ដ
ក្ដក់	ក្ដក់	ក・្・ដ・ក・់
ក្ដន់	ក្ដន់	ក・្・ដ・ន・់
ក្ដាត	ក្ដាត	ក・្・ដ・ា・ត
ក្ដាត់	ក្ដាត់	ក・្・ដ・ា・ត・់
ក្ដាន់	ក្ដាន់	ក・្・ដ・ា・ន・់
ក្ដាប់	ក្ដាប់	ក・្・ដ・ា・ប・់
ក្ដាម	ក្ដាម	ក・្・ដ・ា・ម
ក្ដាមកាច់	ក្ដាម|កាច់	ក・្・ដ・ា・ម・ក・ា・ច・់
ក្ដាមទូក	ក្ដាម|ទូក	ក・្・ដ・ា・ម・ទ・ូ・ក
ក្ដារ	ក្ដារ	ក・្・ដ・ា・រ
ក្ដារខៀន	ក្ដារ|ខៀន	ក・្・ដ・ា・រ・ខ・ៀ・ន
ក្ដារចុច	ក្ដារ|ចុច	ក・្・ដ・ា・រ・ច・ុ・ច
ក្ដារឆ្នួន	ក្ដារ|ឆ្នួន	ក・្・ដ・ា・រ・ឆ・្・ន・ួ・ន
ក្ដារបន្ទះ	ក្ដារ|បន្ទះ	ក・្・ដ・ា・រ・ប・ន・្・ទ・ះ
ក្ដារពុម្ព	ក្ដារ|ពុម្ព	ក・្・ដ・ា・រ・ព・ុ・ម・្・ព
ក្ដារអុក	ក្ដារ|អុក	ក・្・ដ・ា・រ・អ・ុ・ក
ក្ដាំ	ក្ដាំ	ក・្・ដ・ា・ំ
ក្ដាំង	ក្ដាំង	ក・្・ដ・ា・ំ・ង
ក្ដាំងងា	ក្ដាំង|ងា	ក・្・ដ・ា・ំ・ង・ង・ា
ក្ដាំងបាយ	ក្ដាំង|បាយ	ក・្・ដ・ា・ំ・ង・ប・ា・យ
ក្ដិច	ក្ដិច	ក・្・ដ・ិ・ច
ក្ដិចសង្អារបញ្ជល់	ក្ដិច|សង្អារ|បញ្ជល់	ក・្・ដ・ិ・ច・ស・ង・្・អ・ា・រ・ប・ញ・្・ជ・ល・់
ក្ដិត	ក្ដិត	ក・្・ដ・ិ・ត
ក្ដី	ក្ដី	ក・្・ដ・ី
ក្ដីក្ដាំ	ក្ដី|ក្ដាំ	ក・្・ដ・ី・ក・្・ដ・ា・ំ
ក្ដីក្ដាំ	ក្ដី|ក្ដាំ	ក・្・ដ・ី・ក・្・ដ・ា・ំ
