កណ្ដក់	កណ្ដក់	ក・ណ・្・ដ・ក・់
កណ្ដក់	កណ្ដក់	ក・ណ・្・ដ・ក・់
កណ្ដក់	កណ្ដក់	ក・ណ・្・ដ・ក・់
កណ្ដក់	កណ្ដក់	ក・ណ・្・ដ・ក・់
កណ្ដកសញ្ញា	កណ្ដក|សញ្ញា	ក・ណ・្・ដ・ក・ស・ញ・្・ញ・ា
កណ្ដប	កណ្ដប	ក・ណ・្・ដ・ប
កណ្ដាច	កណ្ដាច	ក・ណ・្・ដ・ា・ច
កណ្ដាច់	កណ្ដាច់	ក・ណ・្・ដ・ា・ច・់
កណ្ដាច់	កណ្ដាច់	ក・ណ・្・ដ・ា・ច・់
កណ្ដាច់លែះ	កណ្ដាច់|លែះ	ក・ណ・្・ដ・ា・ច・់・ល・ែ・ះ
កណ្ដាញ់	កណ្ដាញ់	ក・ណ・្・ដ・ា・ញ・់
កណ្ដាញ់	កណ្ដាញ់	ក・ណ・្・ដ・ា・ញ・់
កណ្ដាញ់ព្រាយ	កណ្ដាញ់|ព្រាយ	ក・ណ・្・ដ・ា・ញ・់・ព・្・រ・ា・យ
កណ្ដាប់	កណ្ដាប់	ក・ណ・្・ដ・ា・ប・់
កណ្ដាប់ចក្រវាល	កណ្ដាប់|ចក្រ|វាល	ក・ណ・្・ដ・ា・ប・់・ច・ក・្・រ・វ・ា・ល
កណ្ដាប់ស្រែង	កណ្ដាប់|ស្រែង	ក・ណ・្・ដ・ា・ប・់・ស・្・រ・ែ・ង
កណ្ដាប់ចង្អេរ	កណ្ដាប់|ចង្អេរ	ក・ណ・្・ដ・ា・ប・់・ច・ង・្・អ・េ・រ
កណ្ដាប់ចង្អេរ	កណ្ដាប់|ចង្អេរ	ក・ណ・្・ដ・ា・ប・់・ច・ង・្・អ・េ・រ
កណ្ដាប់ចង្អេរ	កណ្ដាប់|ចង្អេរ	ក・ណ・្・ដ・ា・ប・់・ច・ង・្・អ・េ・រ
កណ្ដាប់ដៃ	កណ្ដាប់|ដៃ	ក・ណ・្・ដ・ា・ប・់・ដ・ៃ
កណ្ដាប់ដៃដែក	កណ្ដាប់|ដៃ|ដែក	ក・ណ・្・ដ・ា・ប・់・ដ・ៃ・ដ・ែ・ក
កណ្ដារ	កណ្ដារ	ក・ណ・្・ដ・ា・រ
កណ្ដាល	កណ្ដាល	ក・ណ・្・ដ・ា・ល
ឋានកណ្ដាល	ឋាន|កណ្ដាល	ឋ・ា・ន・ក・ណ・្・ដ・ា・ល
កណ្ដាល	កណ្ដាល	ក・ណ・្・ដ・ា・ល
កណ្ដាល	កណ្ដាល	ក・ណ・្・ដ・ា・ល
កណ្ដាលស្ទឹង	កណ្ដាល|ស្ទឹង	ក・ណ・្・ដ・ា・ល・ស・្・ទ・ឹ・ង
កណ្ដាស់	កណ្ដាស់	ក・ណ・្・ដ・ា・ស・់
កណ្ដឹង	កណ្ដឹង	ក・ណ・្・ដ・ឹ・ង
កណ្ដឹងគោ	កណ្ដឹង|គោ	ក・ណ・្・ដ・ឹ・ង・គ・ោ
កណ្ដឹងដំរី	កណ្ដឹង|ដំរី	ក・ណ・្・ដ・ឹ・ង・ដ・ំ・រ・ី
កណ្ដឹមឆែប!	កណ្ដឹម|ឆែប|!	ក・ណ・្・ដ・ឹ・ម・ឆ・ែ・ប・!
កណ្ដុក	កណ្ដុក	ក・ណ・្・ដ・ុ・ក
ធ្ងន់ចិត្តកណ្ដុក	ធ្ងន់|ចិត្ត|កណ្ដុក	ធ・្・ង・ន・់・ច・ិ・ត・្・ត・ក・ណ・្・ដ・ុ・ក
កណ្ដុរ	កណ្ដុរ	ក・ណ・្・ដ・ុ・រ
កណ្ដុរប្រែង	កណ្ដុរ|ប្រែង	ក・ណ・្・ដ・ុ・រ・ប・្・រ・ែ・ង
កណ្ដូង	កណ្ដូង	ក・ណ・្・ដ・ូ・ង
សក់កណ្ដូង	សក់|កណ្ដូង	ស・ក・់・ក・ណ・្・ដ・ូ・ង
កណ្ដូប	កណ្ដូប	ក・ណ・្・ដ・ូ・ប
កណ្ដូបសេះ	កណ្ដូប|សេះ	ក・ណ・្・ដ・ូ・ប・ស・េ・ះ
កណ្ដួយ	កណ្ដួយ	ក・ណ・្・ដ・ួ・យ
កណ្ដៀខ្មូត	កណ្ដៀ|ខ្មូត	ក・ណ・្・ដ・ៀ・ខ・្・ម・ូ・ត
កណ្ដៀង	កណ្ដៀង	ក・ណ・្・ដ・ៀ・ង
កណ្ដៀង	កណ្ដៀង	ក・ណ・្・ដ・ៀ・ង
កណ្ដៀត	កណ្ដៀត	ក・ណ・្・ដ・ៀ・ត
កណ្ដៀតក្អម	កណ្ដៀត|ក្អម	ក・ណ・្・ដ・ៀ・ត・ក・្・អ・ម
កណ្ដៀទៀ	កណ្ដៀ|ទៀ	ក・ណ・្・ដ・ៀ・ទ・ៀ
កណ្ដៀន	កណ្ដៀន	ក・ណ・្・ដ・ៀ・ន
កណ្ដៀរ	កណ្ដៀរ	ក・ណ・្・ដ・ៀ・រ
កណ្ដៀវ	កណ្ដៀវ	ក・ណ・្・ដ・ៀ・វ
ឆ្នាំនេះកណ្ដៀវសោយរាជ្យហើយ	ឆ្នាំ|នេះ|កណ្ដៀវ|សោយ|រាជ្យ|ហើយ	ឆ・្・ន・ា・ំ・ន・េ・ះ・ក・ណ・្・ដ・ៀ・វ・ស・ោ・យ・រ・ា・ជ・្・យ・ហ・ើ・យ
កណ្ដេង	កណ្ដេង	ក・ណ・្・ដ・េ・ង
កណ្ដេង	កណ្ដេង	ក・ណ・្・ដ・េ・ង
កណ្ដែងកណ្ដោច	កណ្ដែង|កណ្ដោច	ក・ណ・្・ដ・ែ・ង・ក・ណ・្・ដ・ោ・ច
កណ្ដែងកណ្ដោច	កណ្ដែង|កណ្ដោច	ក・ណ・្・ដ・ែ・ង・ក・ណ・្・ដ・ោ・ច
កណ្ដោច	កណ្ដោច	ក・ណ・្・ដ・ោ・ច
កណ្ដោច	កណ្ដោច	ក・ណ・្・ដ・ោ・ច
កណ្ដោចកណ្ដែង	កណ្ដោចកណ្ដែង	ក・ណ・្・ដ・ោ・ច・ក・ណ・្・ដ・ែ・ង
កណ្ដោចកណ្ដែង	កណ្ដោចកណ្ដែង	ក・ណ・្・ដ・ោ・ច・ក・ណ・្・ដ・ែ・ង
កណ្ដោល	កណ្ដោល	ក・ណ・្・ដ・ោ・ល
កណ្ដោលបាត	កណ្ដោល|បាត	ក・ណ・្・ដ・ោ・ល・ប・ា・ត
កណ្ដុំឆែប!	កណ្ដុំ|ឆែប|!	ក・ណ・្・ដ・ុ・ំ・ឆ・ែ・ប・!
កន្ទុយអណ្ដើក	កន្ទុយ|អណ្ដើក	ក・ន・្・ទ・ុ・យ・អ・ណ・្・ដ・ើ・ក
កម្មករបណ្ដែត	កម្មករ|បណ្ដែត	ក・ម・្・ម・ក・រ・ប・ណ・្・ដ・ែ・ត
កាត់បណ្ដុះ	កាត់|បណ្ដុះ	ក・ា・ត・់・ប・ណ・្・ដ・ុ・ះ
កូនកណ្ដុរ	កូន|កណ្ដុរ	ក・ូ・ន・ក・ណ・្・ដ・ុ・រ
កូនបណ្ដែត	កូន|បណ្ដែត	ក・ូ・ន・ប・ណ・្・ដ・ែ・ត
កណ្ដៀរកោរកណ្ដុរកាត់	កណ្ដៀរ|កោរ|កណ្ដុរ|កាត់	ក・ណ・្・ដ・ៀ・រ・ក・ោ・រ・ក・ណ・្・ដ・ុ・រ・ក・ា・ត・់
កណ្ដៀរកោរកណ្ដុរកាត់	កណ្ដៀរ|កោរ|កណ្ដុរ|កាត់	ក・ណ・្・ដ・ៀ・រ・ក・ោ・រ・ក・ណ・្・ដ・ុ・រ・ក・ា・ត・់
កោះអណ្ដែត	កោះ|អណ្ដែត	ក・ោ・ះ・អ・ណ・្・ដ・ែ・ត
ក្រចកអណ្ដើក	ក្រចក|អណ្ដើក	ក・្・រ・ច・ក・អ・ណ・្・ដ・ើ・ក
ក្រចកអណ្ដើក	ក្រចក|អណ្ដើក	ក・្・រ・ច・ក・អ・ណ・្・ដ・ើ・ក
ក្រចកអណ្ដើក	ក្រចក|អណ្ដើក	ក・្・រ・ច・ក・អ・ណ・្・ដ・ើ・ក
