ចុងសប្ដាហ៍	ចុង|សប្ដាហ៍	ច・ុ・ង・ស・ប・្・ដ・ា・ហ・៍
ដាច់ដោចប្ដីប្រពន្ធ	ដាច់ដោច|ប្ដី|ប្រពន្ធ	ដ・ា・ច・់・ដ・ោ・ច・ប・្・ដ・ី・ប・្・រ・ព・ន・្・ធ
ទ្វិសប្ដាហៈ	ទ្វិសប្ដាហៈ	ទ・្・វ・ិ・ស・ប・្・ដ・ា・ហ・ៈ
ទ្វិសប្ដាហ៍	ទ្វិសប្ដាហ៍	ទ・្・វ・ិ・ស・ប・្・ដ・ា・ហ・៍
ប៉ប្ដៀច	ប៉ប្ដៀច	ប・៉・ប・្・ដ・ៀ・ច
ប្ដី	ប្ដី	ប・្・ដ・ី
ប្ដីសី	ប្ដី|សី	ប・្・ដ・ី・ស・ី
ប្ដឹង	ប្ដឹង	ប・្・ដ・ឹ・ង
ប្ដឹងប្ដល់	ប្ដឹង|ប្ដល់	ប・្・ដ・ឹ・ង・ប・្・ដ・ល・់
ប្ដឹងប្ដល់	ប្ដឹង|ប្ដល់	ប・្・ដ・ឹ・ង・ប・្・ដ・ល・់
ប្ដឹងផ្ដល់	ប្ដឹង|ផ្ដល់	ប・្・ដ・ឹ・ង・ផ・្・ដ・ល・់
ប្ដូរ	ប្ដូរ	ប・្・ដ・ូ・រ
ប្ដូរជីវិត	ប្ដូរ|ជីវិត	ប・្・ដ・ូ・រ・ជ・ី・វ・ិ・ត
ប្ដូរដងប្ដូរផ្លែ	ប្ដូរ|ដង|ប្ដូរ|ផ្លែ	ប・្・ដ・ូ・រ・ដ・ង・ប・្・ដ・ូ・រ・ផ・្・ល・ែ
ប្ដូរដងប្ដូរផ្លែ	ប្ដូរ|ដង|ប្ដូរ|ផ្លែ	ប・្・ដ・ូ・រ・ដ・ង・ប・្・ដ・ូ・រ・ផ・្・ល・ែ
ប្ដូរផ្ដាច់	ប្ដូរផ្ដាច់	ប・្・ដ・ូ・រ・ផ・្・ដ・ា・ច・់
ប្ដូរវេន	ប្ដូរ|វេន	ប・្・ដ・ូ・រ・វ・េ・ន
ប្ដូរស្លាប់ប្ដូររស់	ប្ដូរ|ស្លាប់|ប្ដូរ|រស់	ប・្・ដ・ូ・រ・ស・្・ល・ា・ប・់・ប・្・ដ・ូ・រ・រ・ស・់
