ខូចផ្ដាច់	ខ・ូ・ច・ផ・្・ដ・ា・ច・់
ខ្សែផ្ដេក	ខ・្・ស・ែ・ផ・្・ដ・េ・ក
ឈើផ្ដេក	ឈ・ើ・ផ・្・ដ・េ・ក
ថ្លៃលក់ផ្ដាច់	ថ・្・ល・ៃ・ល・ក・់・ផ・្・ដ・ា・ច・់
ទាសផ្ដាស	ទ・ា・ស・ផ・្・ដ・ា・ស
បាក់ផ្ដៅ	ប・ា・ក・់・ផ・្・ដ・ៅ
ប្ដឹងផ្ដល់	ប・្・ដ・ឹ・ង・ផ・្・ដ・ល・់
ប្ដូរផ្ដាច់	ប・្・ដ・ូ・រ・ផ・្・ដ・ា・ច・់
ផ្ដាច់ប្ដូរ	ផ・្・ដ・ា・ច・់・ប・្・ដ・ូ・រ
ប្រទេចផ្ដាសា	ប・្・រ・ទ・េ・ច・ផ・្・ដ・ា・ស・ា
ប៉ផ្ដក់	ប・៉・ផ・្・ដ・ក・់
ប៉ផ្ដាក់	ប・៉・ផ・្・ដ・ា・ក・់
ប៉ផ្ដិតប៉ផ្ដូង	ប・៉・ផ・្・ដ・ិ・ត・ប・៉・ផ・្・ដ・ូ・ង
ប៉ផ្ដិតប៉ផ្ដូង	ប・៉・ផ・្・ដ・ិ・ត・ប・៉・ផ・្・ដ・ូ・ង
ប៉ផ្ដឺត	ប・៉・ផ・្・ដ・ឺ・ត
ប៉ផ្ដៀច	ប・៉・ផ・្・ដ・ៀ・ច
ផ្ចុងផ្ដើម	ផ・្・ច・ុ・ង・ផ・្・ដ・ើ・ម
ផ្ដន្ទា	ផ・្・ដ・ន・្・ទ・ា
ផ្ដន្ទាទោស	ផ・្・ដ・ន・្・ទ・ា・ទ・ោ・ស
ផ្ដល់	ផ・្・ដ・ល・់
ផ្ដល់សច្ចាប័ន	ផ・្・ដ・ល・់・ស・ច・្・ច・ា・ប・័・ន
ផ្ដល់ឱកាស	ផ・្・ដ・ល・់・ឱ・ក・ា・ស
ផ្ដាក់ផ្ដឺត	ផ・្・ដ・ា・ក・់・ផ・្・ដ・ឺ・ត
ផ្ដាក់ផ្ដឺត	ផ・្・ដ・ា・ក・់・ផ・្・ដ・ឺ・ត
ផ្ដាច់	ផ・្・ដ・ា・ច・់
ផ្ដាច់បង់	ផ・្・ដ・ា・ច・់・ប・ង・់
ផ្ដាច់ផ្ដិល	ផ・្・ដ・ា・ច・់・ផ・្・ដ・ិ・ល
ផ្ដាច់ផ្ដិល	ផ・្・ដ・ា・ច・់・ផ・្・ដ・ិ・ល
ផ្ដាច់ព្រ័ត្រ	ផ・្・ដ・ា・ច・់・ព・្・រ・័・ត・្・រ
ផ្ដិលផ្ដាច់	ផ・្・ដ・ិ・ល・ផ・្・ដ・ា・ច・់
ផ្ដិលផ្ដាច់	ផ・្・ដ・ិ・ល・ផ・្・ដ・ា・ច・់
ល្អផ្ដាច់	ល・្・អ・ផ・្・ដ・ា・ច・់
ផ្ដាច់ការ	ផ・្・ដ・ា・ច・់・ក・ា・រ
ផ្ដាច់ការនិយម	ផ・្・ដ・ា・ច・់・ក・ា・រ・ន・ិ・យ・ម
