កម្ដៅ	កម្ដៅ	ក・ម・្・ដ・ៅ
កម្ដៅសាច់ដុំ	កម្ដៅ|សាច់|ដុំ	ក・ម・្・ដ・ៅ・ស・ា・ច・់・ដ・ុ・ំ
កាច់សម្ដី	កាច់|សម្ដី	ក・ា・ច・់・ស・ម・្・ដ・ី
គម្ដែង	គម្ដែង	គ・ម・្・ដ・ែ・ង
គម្ដែងក្រឡា	គម្ដែង|ក្រឡា	គ・ម・្・ដ・ែ・ង・ក・្・រ・ឡ・ា
គម្ដែងផ្ទៃក្រោម	គម្ដែង|ផ្ទៃ|ក្រោម	គ・ម・្・ដ・ែ・ង・ផ・្・ទ・ៃ・ក・្・រ・ោ・ម
គម្ដែងសង្ឃ	គម្ដែង|សង្ឃ	គ・ម・្・ដ・ែ・ង・ស・ង・្・ឃ
គ្រលៀសសម្ដី	គ្រលៀស|សម្ដី	គ・្・រ・ល・ៀ・ស・ស・ម・្・ដ・ី
ងាស់សម្ដី	ងាស់|សម្ដី	ង・ា・ស・់・ស・ម・្・ដ・ី
ចំពប់សម្ដី	ចំពប់|សម្ដី	ច・ំ・ព・ប・់・ស・ម・្・ដ・ី
ជើងម្ដែង	ជើង|ម្ដែង	ជ・ើ・ង・ម・្・ដ・ែ・ង
ដូចម្ដេច	ដូច|ម្ដេច	ដ・ូ・ច・ម・្・ដ・េ・ច
តមាត់តសម្ដី	តមាត់|តសម្ដី	ត・ម・ា・ត・់・ត・ស・ម・្・ដ・ី
តួសម្ដែង	តួ|សម្ដែង	ត・ួ・ស・ម・្・ដ・ែ・ង
ថាមពលកម្ដៅ	ថាមពល|កម្ដៅ	ថ・ា・ម・ព・ល・ក・ម・្・ដ・ៅ
ថាម្ដងម្នាក់	ថា|ម្ដង|ម្នាក់	ថ・ា・ម・្・ដ・ង・ម・្・ន・ា・ក・់
ធ្វើម្ដេចហ្ន៎!	ធ្វើ|ម្ដេច|ហ្ន៎|!	ធ・្・វ・ើ・ម・្・ដ・េ・ច・ហ・្・ន・៎・!
នាំពាំពាក្យសម្ដី	នាំ|ពាំ|ពាក្យ|សម្ដី	ន・ា・ំ・ព・ា・ំ・ព・ា・ក・្・យ・ស・ម・្・ដ・ី
បោះសម្ដី	បោះ|សម្ដី	ប・ោ・ះ・ស・ម・្・ដ・ី
ប្រតិកម្មបញ្ចេញកម្ដៅ	ប្រតិកម្ម|បញ្ចេញ|កម្ដៅ	ប・្・រ・ត・ិ・ក・ម・្・ម・ប・ញ・្・ច・េ・ញ・ក・ម・្・ដ・ៅ
ប្រតិកម្មស្រូបកម្ដៅ	ប្រតិកម្ម|ស្រូប|កម្ដៅ	ប・្・រ・ត・ិ・ក・ម・្・ម・ស・្・រ・ូ・ប・ក・ម・្・ដ・ៅ
ប្រាជ្ញសម្ដី	ប្រាជ្ញ|សម្ដី	ប・្・រ・ា・ជ・្・ញ・ស・ម・្・ដ・ី
ប្រែសម្ដី	ប្រែ|សម្ដី	ប・្・រ・ែ・ស・ម・្・ដ・ី
ប្លាតសម្ដី	ប្លាត|សម្ដី	ប・្・ល・ា・ត・ស・ម・្・ដ・ី
ពាំពាក្យពាំសម្ដី	ពាំ|ពាក្យ|ពាំ|សម្ដី	ព・ា・ំ・ព・ា・ក・្・យ・ព・ា・ំ・ស・ម・្・ដ・ី
ភិក្ខុសម្ដែងអាបត្តិ	ភិក្ខុ|សម្ដែង|អាបត្តិ	ភ・ិ・ក・្・ខ・ុ・ស・ម・្・ដ・ែ・ង・អ・ា・ប・ត・្・ត・ិ
មនុស្សយកសម្ដីដំរីយកភ្លុក	មនុស្ស|យក|សម្ដី|ដំរី|យក|ភ្លុក	ម・ន・ុ・ស・្・ស・យ・ក・ស・ម・្・ដ・ី・ដ・ំ・រ・ី・យ・ក・ភ・្・ល・ុ・ក
មួលសម្ដី	មួល|សម្ដី	ម・ួ・ល・ស・ម・្・ដ・ី
ម្ដង	ម្ដង	ម・្・ដ・ង
ម្ដងណា	ម្ដង|ណា	ម・្・ដ・ង・ណ・ា
ម្ដងណេះ	ម្ដង|ណេះ	ម・្・ដ・ង・ណ・េ・ះ
ម្ដងនេះ	ម្ដង|នេះ	ម・្・ដ・ង・ន・េ・ះ
ម្ដងម្កាល	ម្ដង|ម្កាល	ម・្・ដ・ង・ម・្・ក・ា・ល
ម្ដងម្យាម	ម្ដង|ម្យាម	ម・្・ដ・ង・ម・្・យ・ា・ម
ម្ដងៗ	ម្ដង|ៗ	ម・្・ដ・ង・ៗ
ម្ដា	ម្ដា	ម・្・ដ・ា
ម្ដាយ	ម្ដាយ	ម・្・ដ・ា・យ
ម្ដាយកូន!	ម្ដាយ|កូន|!	ម・្・ដ・ា・យ・ក・ូ・ន・!
ម្ដាយក្មេក	ម្ដាយ|ក្មេក	ម・្・ដ・ា・យ・ក・្・ម・េ・ក
ម្ដាយចិញ្ចឹម	ម្ដាយ|ចិញ្ចឹម	ម・្・ដ・ា・យ・ច・ិ・ញ・្・ច・ឹ・ម
ម្ដាយចុង	ម្ដាយ|ចុង	ម・្・ដ・ា・យ・ច・ុ・ង
ម្ដាយដើម	ម្ដាយ|ដើម	ម・្・ដ・ា・យ・ដ・ើ・ម
ម្ដាយទីទៃ	ម្ដាយ|ទីទៃ	ម・្・ដ・ា・យ・ទ・ី・ទ・ៃ
ម្ដាយធម៌	ម្ដាយ|ធម៌	ម・្・ដ・ា・យ・ធ・ម・៌
ម្ដាយធំ	ម្ដាយ|ធំ	ម・្・ដ・ា・យ・ធ・ំ
