កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
គម្លាតស្ដង់ដា	គ・ម・្・ល・ា・ត・ស・្・ដ・ង・់・ដ・ា
ស្ដេចគូលីត	ស・្・ដ・េ・ច・គ・ូ・ល・ី・ត
ចតុស្ដម្ភ	ច・ត・ុ・ស・្・ដ・ម・្・ភ
ចេស្ដា	ច・េ・ស・្・ដ・ា
ព្រះចេស្ដា	ព・្・រ・ះ・ច・េ・ស・្・ដ・ា
ជ័យសួស្ដិ៍	ជ・័・យ・ស・ួ・ស・្・ដ・ិ・៍
ជលស្ដម្ភ	ជ・ល・ស・្・ដ・ម・្・ភ
ជាក់ស្ដែង	ជ・ា・ក・់・ស・្・ដ・ែ・ង
ឈើស្ដឹង	ឈ・ើ・ស・្・ដ・ឹ・ង
ដៃស្ដាំ	ដ・ៃ・ស・្・ដ・ា・ំ
តុស្ដី	ត・ុ・ស・្・ដ・ី
បានតែពាក្យត្រគាកស្លាប់ស្ដូក	ប・ា・ន・ត・ែ・ព・ា・ក・្・យ・ត・្・រ・គ・ា・ក・ស・្・ល・ា・ប・់・ស・្・ដ・ូ・ក
ទិវាសួស្ដី	ទ・ិ・វ・ា・ស・ួ・ស・្・ដ・ី
ទីស្ដីការ	ទ・ី・ស・្・ដ・ី・ក・ា・រ
ទីស្ដីការគណៈរដ្ឋមន្ត្រី	ទ・ី・ស・្・ដ・ី・ក・ា・រ・គ・ណ・ៈ・រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
ទ្រឹស្ដី	ទ・្・រ・ឹ・ស・្・ដ・ី
ទ្រឹស្ដីធៀប	ទ・្・រ・ឹ・ស・្・ដ・ី・ធ・ៀ・ប
ទ្រឹស្ដីបទ	ទ・្・រ・ឹ・ស・្・ដ・ី・ប・ទ
បត់ស្ដាំ	ប・ត・់・ស・្・ដ・ា・ំ
បរិស្ដម្ភ	ប・រ・ិ・ស・្・ដ・ម・្・ភ
ប្រស្ដែង	ប・្・រ・ស・្・ដ・ែ・ង
ប្រឹស្ដាង្គ	ប・្・រ・ឹ・ស・្・ដ・ា・ង・្・គ
ប្រូតេស្ដង់និយម	ប・្・រ・ូ・ត・េ・ស・្・ដ・ង・់・ន・ិ・យ・ម
ប៉េស្ដ	ប・៉・េ・ស・្・ដ
ស្ដីឱ្យផូងៗ	ស・្・ដ・ី・ឱ・្・យ・ផ・ូ・ង・ៗ
ផ្លូវស្ដាំ	ផ・្・ល・ូ・វ・ស・្・ដ・ា・ំ
ព័ស្ដុ	ព・័・ស・្・ដ・ុ
ពិស្ដារ	ព・ិ・ស・្・ដ・ា・រ
ពិស្ដារ	ព・ិ・ស・្・ដ・ា・រ
និយាយពិស្ដារ	ន・ិ・យ・ា・យ・ព・ិ・ស・្・ដ・ា・រ
ព្រៃស្ដុក	ព・្・រ・ៃ・ស・្・ដ・ុ・ក
ព្រះស្ដេច	ព・្・រ・ះ・ស・្・ដ・េ・ច
ព្រះស្ដែង	ព・្・រ・ះ・ស・្・ដ・ែ・ង
ភគិនីភស្ដា	ភ・គ・ិ・ន・ី・ភ・ស・្・ដ・ា
ភស្ដា	ភ・ស・្・ដ・ា
រណស្ដម្ភ	រ・ណ・ស・្・ដ・ម・្・ភ
ឫស្ដី	ឫ・ស・្・ដ・ី
រូបវិទ្យាទ្រឹស្ដី	រ・ូ・ប・វ・ិ・ទ・្・យ・ា・ទ・្・រ・ឹ・ស・្・ដ・ី
ស្ដីរួច	ស・្・ដ・ី・រ・ួ・ច
លលិតវិស្ដារ	ល・ល・ិ・ត・វ・ិ・ស・្・ដ・ា・រ
លេខអស្ដា	ល・េ・ខ・អ・ស・្・ដ・ា
វិចេស្ដន	វ・ិ・ច・េ・ស・្・ដ・ន
វេស្ដន	វ・េ・ស・្・ដ・ន
សព៌េជ្ញសាស្ដា	ស・ព・៌・េ・ជ・្・ញ・ស・ា・ស・្・ដ・ា
សសរស្ដម្ភ	ស・ស・រ・ស・្・ដ・ម・្・ភ
