កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
កញ្ញាកិត្តិយស	កញ្ញា|កិត្តិ|យស	ក・ញ・្・ញ・ា・ក・ិ・ត・្・ត・ិ・យ・ស
កត្តា	កត្តា	ក・ត・្・ត・ា
កត្តិក	កត្តិក	ក・ត・្・ត・ិ・ក
កត្តុវាចក	កត្តុ|វាចក	ក・ត・្・ត・ុ・វ・ា・ច・ក
កត្តុវាចកៈ	កត្តុ|វា|ចកៈ	ក・ត・្・ត・ុ・វ・ា・ច・ក・ៈ
កបិចិត្ត	កបិចិត្ត	ក・ប・ិ・ច・ិ・ត・្・ត
កពូនសម្បត្តិ	កពូន|សម្បត្តិ	ក・ព・ូ・ន・ស・ម・្・ប・ត・្・ត・ិ
កម្មសិទ្ធិឯកត្តជន	កម្មសិទ្ធិ|ឯកត្ត|ជន	ក・ម・្・ម・ស・ិ・ទ・្・ធ・ិ・ឯ・ក・ត・្・ត・ជ・ន
កម្លាចិត្ត	កម្លា|ចិត្ត	ក・ម・្・ល・ា・ច・ិ・ត・្・ត
កម្លាំងចិត្ត	កម្លាំង|ចិត្ត	ក・ម・្・ល・ា・ំ・ង・ច・ិ・ត・្・ត
កល្យាណមិត្ត	កល្យាណ|មិត្ត	ក・ល・្・យ・ា・ណ・ម・ិ・ត・្・ត
កាត់ចិត្តកាត់ថ្លើម	កាត់|ចិត្ត|កាត់|ថ្លើម	ក・ា・ត・់・ច・ិ・ត・្・ត・ក・ា・ត・់・ថ・្・ល・ើ・ម
កាត់ចិត្តភឹង	កាត់|ចិត្ត|ភឹង	ក・ា・ត・់・ច・ិ・ត・្・ត・ភ・ឹ・ង
កាមុម្មត្តកៈ	កាមុម្មត្តកៈ	ក・ា・ម・ុ・ម・្・ម・ត・្・ត・ក・ៈ
កាយវិញ្ញត្តិ	កាយ|វិញ្ញត្តិ	ក・ា・យ・វ・ិ・ញ・្・ញ・ត・្・ត・ិ
ការុញ្ញចិត្ត	ការ|ុញ្ញ|ចិត្ត	ក・ា・រ・ុ・ញ・្・ញ・ច・ិ・ត・្・ត
កាលប្បវត្តិ	កាល|ប្បវត្តិ	ក・ា・ល・ប・្・ប・វ・ត・្・ត・ិ
កាលប្រវត្តិ	កាល|ប្រវត្តិ	ក・ា・ល・ប・្・រ・វ・ត・្・ត・ិ
កាលប្រវត្តិវិទ្យា	កាល|ប្រវត្តិ|វិទ្យា	ក・ា・ល・ប・្・រ・វ・ត・្・ត・ិ・វ・ិ・ទ・្・យ・ា
កាលវិបត្តិ	កាល|វិបត្តិ	ក・ា・ល・វ・ិ・ប・ត・្・ត・ិ
កាលសម័យបុរេប្រវត្តិ	កាល|សម័យ|បុរេ|ប្រវត្តិ	ក・ា・ល・ស・ម・័・យ・ប・ុ・រ・េ・ប・្・រ・វ・ត・្・ត・ិ
