កងអន្តរាគមន៍	កង|អន្តរាគមន៍	ក・ង・អ・ន・្・ត・រ・ា・គ・ម・ន・៍
កន្តរ៉	កន្តរ៉	ក・ន・្・ត・រ・៉
កន្តាញ	កន្តាញ	ក・ន・្・ត・ា・ញ
កន្តារ	កន្តារ	ក・ន・្・ត・ា・រ
កន្តារទ្ធា	កន្តារ|ទ្ធា	ក・ន・្・ត・ា・រ・ទ・្・ធ・ា
កន្តាវរ៉ាវ	កន្តាវ|រ៉ាវ	ក・ន・្・ត・ា・វ・រ・៉・ា・វ
កន្តាំង	កន្តាំង	ក・ន・្・ត・ា・ំ・ង
កន្តិញកន្តុញ	កន្តិញ|កន្តុញ	ក・ន・្・ត・ិ・ញ・ក・ន・្・ត・ុ・ញ
កន្តិញកន្តុញ	កន្តិញ|កន្តុញ	ក・ន・្・ត・ិ・ញ・ក・ន・្・ត・ុ・ញ
កន្តិល	កន្តិល	ក・ន・្・ត・ិ・ល
កន្តឹប	កន្តឹប	ក・ន・្・ត・ឹ・ប
កន្តឹម	កន្តឹម	ក・ន・្・ត・ឹ・ម
កន្តុញ	កន្តុញ	ក・ន・្・ត・ុ・ញ
កន្តុប	កន្តុប	ក・ន・្・ត・ុ・ប
កន្តុល	កន្តុល	ក・ន・្・ត・ុ・ល
កន្តុលឪ	កន្តុល|ឪ	ក・ន・្・ត・ុ・ល・ឪ
កន្តូ	កន្តូ	ក・ន・្・ត・ូ
កន្តូឡេត	កន្តូឡេត	ក・ន・្・ត・ូ・ឡ・េ・ត
កន្តើយ	កន្តើយ	ក・ន・្・ត・ើ・យ
កន្តេះឡង់	កន្តេះ|ឡង់	ក・ន・្・ត・េ・ះ・ឡ・ង・់
កន្តែរ៉ែ	កន្តែ|រ៉ែ	ក・ន・្・ត・ែ・រ・៉・ែ
កន្ត្រ	កន្ត្រ	ក・ន・្・ត・្・រ
កន្ត្រក	កន្ត្រក	ក・ន・្・ត・្・រ・ក
កន្ត្រង	កន្ត្រង	ក・ន・្・ត・្・រ・ង
កន្ត្រងប្រេង	កន្ត្រង|ប្រេង	ក・ន・្・ត・្・រ・ង・ប・្・រ・េ・ង
កន្ត្រប់	កន្ត្រប់	ក・ន・្・ត・្・រ・ប・់
កន្ត្រាក	កន្ត្រាក	ក・ន・្・ត・្・រ・ា・ក
កន្ត្រាក់	កន្ត្រាក់	ក・ន・្・ត・្・រ・ា・ក・់
កន្ត្រាក់សាច់ដុំ	កន្ត្រាក់|សាច់|ដុំ	ក・ន・្・ត・្・រ・ា・ក・់・ស・ា・ច・់・ដ・ុ・ំ
កន្ត្រើយ	កន្ត្រើយ	ក・ន・្・ត・្・រ・ើ・យ
កន្ត្រេកកន្ត្រាក	កន្ត្រេក|កន្ត្រាក	ក・ន・្・ត・្・រ・េ・ក・ក・ន・្・ត・្・រ・ា・ក
កន្ត្រេកកន្ត្រាក	កន្ត្រេក|កន្ត្រាក	ក・ន・្・ត・្・រ・េ・ក・ក・ន・្・ត・្・រ・ា・ក
កន្ត្រែង	កន្ត្រែង	ក・ន・្・ត・្・រ・ែ・ង
កន្ត្រៃ	កន្ត្រៃ	ក・ន・្・ត・្・រ・ៃ
កន្ត្រោង	កន្ត្រោង	ក・ន・្・ត・្・រ・ោ・ង
កន្ត្រោន	កន្ត្រោន	ក・ន・្・ត・្・រ・ោ・ន
កន្សែងយ័ន្ត	កន្សែង|យ័ន្ត	ក・ន・្・ស・ែ・ង・យ・័・ន・្・ត
កម្មន្ត	កម្មន្ត	ក・ម・្・ម・ន・្・ត
កម្មន្តរាយ	កម្មន្តរាយ	ក・ម・្・ម・ន・្・ត・រ・ា・យ
កម្មន្តសាល	កម្មន្ត|សាល	ក・ម・្・ម・ន・្・ត・ស・ា・ល
កម្លាំងវេទមន្ត	កម្លាំង|វេទមន្ត	ក・ម・្・ល・ា・ំ・ង・វ・េ・ទ・ម・ន・្・ត
កម្សាន្ត	កម្សាន្ត	ក・ម・្・ស・ា・ន・្・ត
ការន្ត	ការ|ន្ត	ក・ា・រ・ន・្・ត
ការបន្តពូជ	ការ|បន្ត|ពូជ	ក・ា・រ・ប・ន・្・ត・ព・ូ・ជ
ការបន្តពូជភេទ	ការ|បន្ត|ពូជ|ភេទ	ក・ា・រ・ប・ន・្・ត・ព・ូ・ជ・ភ・េ・ទ
ការបន្តពូជអភេទ	ការ|បន្ត|ពូជ|អភេទ	ក・ា・រ・ប・ន・្・ត・ព・ូ・ជ・អ・ភ・េ・ទ
កិច្ចព្រមព្រៀងសន្តិភាព	កិច្ច|ព្រមព្រៀង|សន្តិភាព	ក・ិ・ច・្・ច・ព・្・រ・ម・ព・្・រ・ៀ・ង・ស・ន・្・ត・ិ・ភ・ា・ព
កឹងកន្ត្រៃ	កឹង|កន្ត្រៃ	ក・ឹ・ង・ក・ន・្・ត・្・រ・ៃ
កុលវន្ត	កុល|វន្ត	ក・ុ・ល・វ・ន・្・ត
ក្សាន្ត	ក្សាន្ត	ក・្・ស・ា・ន・្・ត
ក្សេមក្សាន្ត	ក្សេមក្សាន្ត	ក・្・ស・េ・ម・ក・្・ស・ា・ន・្・ត
ខន្តី	ខន្តី	ខ・ន・្・ត・ី
ខន្តីបារមី	ខន្តី|បារមី	ខ・ន・្・ត・ី・ប・ា・រ・ម・ី
ខ្យល់កន្ត្រាក់	ខ្យល់|កន្ត្រាក់	ខ・្・យ・ល・់・ក・ន・្・ត・្・រ・ា・ក・់
ខ្សែភាពយន្ត	ខ្សែ|ភាពយន្ត	ខ・្・ស・ែ・ភ・ា・ព・យ・ន・្・ត
គជទន្ត	គជទន្ត	គ・ជ・ទ・ន・្・ត
គណនីចរន្ត	គណនី|ចរន្ត	គ・ណ・ន・ី・ច・រ・ន・្・ត
គណៈរដ្ឋមន្ត្រី	គណៈ|រដ្ឋ|មន្ត្រី	គ・ណ・ៈ・រ・ដ・្・ឋ・ម・ន・្・ត・្・រ・ី
គុណវន្ត	គុណ|វន្ត	គ・ុ・ណ・វ・ន・្・ត
គុណវន្តី	គុណ|វន្តី	គ・ុ・ណ・វ・ន・្・ត・ី
គោយន្ត	គោ|យន្ត	គ・ោ・យ・ន・្・ត
គ្រឿងយន្ត	គ្រឿង|យន្ត	គ・្・រ・ឿ・ង・យ・ន・្・ត
គ្រោះមហន្តរាយ	គ្រោះ|មហន្តរាយ	គ・្・រ・ោ・ះ・ម・ហ・ន・្・ត・រ・ា・យ
ចរន្ត	ចរន្ត	ច・រ・ន・្・ត
ចរន្តការ	ចរន្ត|ការ	ច・រ・ន・្・ត・ក・ា・រ
ចរន្តឆ្លាស់	ចរន្ត|ឆ្លាស់	ច・រ・ន・្・ត・ឆ・្・ល・ា・ស・់
ចរន្តជាប់	ចរន្ត|ជាប់	ច・រ・ន・្・ត・ជ・ា・ប・់
ចរន្តអគ្គិសនី	ចរន្ត|អគ្គិសនី	ច・រ・ន・្・ត・អ・គ・្・គ・ិ・ស・ន・ី
ចិន្តនាការ	ចិន្ត|នាការ	ច・ិ・ន・្・ត・ន・ា・ក・ា・រ
ចិន្តា	ចិន្តា	ច・ិ・ន・្・ត・ា
ចិន្តាមណី	ចិន្តាមណី	ច・ិ・ន・្・ត・ា・ម・ណ・ី
ចូឡាកន្តមង្គល	ចូឡា|កន្ត|មង្គល	ច・ូ・ឡ・ា・ក・ន・្・ត・ម・ង・្・គ・ល
ចូឡាក័ន្ត	ចូឡា|ក័ន្ត	ច・ូ・ឡ・ា・ក・័・ន・្・ត
ចោរកន្តារ	ចោរ|កន្តារ	ច・ោ・រ・ក・ន・្・ត・ា・រ
ចំណាយចរន្ត	ចំណាយ|ចរន្ត	ច・ំ・ណ・ា・យ・ច・រ・ន・្・ត
ចំណូលចរន្ត	ចំណូល|ចរន្ត	ច・ំ・ណ・ូ・ល・ច・រ・ន・្・ត
ឆទ្ទន្ត	ឆទ្ទន្ត	ឆ・ទ・្・ទ・ន・្・ត
ជណ្ដើរយន្ត	ជណ្ដើរ|យន្ត	ជ・ណ・្・ដ・ើ・រ・យ・ន・្・ត
ជនអនន្តោប្រវេសន៍	ជន|អនន្តោប្រវេសន៍	ជ・ន・អ・ន・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・៍
ជនអន្តោប្រវេសន៍	ជន|អន្តោប្រវេសន៍	ជ・ន・អ・ន・្・ត・ោ・ប・្・រ・វ・េ・ស・ន・៍
ជបមន្ត	ជបមន្ត	ជ・ប・ម・ន・្・ត
ជយមន្ត	ជយ|មន្ត	ជ・យ・ម・ន・្・ត
ជលយន្ត	ជល|យន្ត	ជ・ល・យ・ន・្・ត
ជវលេខយន្ត	ជវ|លេខ|យន្ត	ជ・វ・ល・េ・ខ・យ・ន・្・ត
ជីវន្ត	ជីវន្ត	ជ・ី・វ・ន・្・ត
