កាត់កេរ្តិ៍កាត់ខ្មាស	ក・ា・ត・់・ក・េ・រ・្・ត・ិ・៍・ក・ា・ត・់・ខ・្・ម・ា・ស
កិរ្តិ៍	ក・ិ・រ・្・ត・ិ・៍
កិរ្តិសព្ទ	ក・ិ・រ・្・ត・ិ・ស・ព・្・ទ
កូអ័រដោណេភូមិសាស្រ្ត	ក・ូ・អ・័・រ・ដ・ោ・ណ・េ・ភ・ូ・ម・ិ・ស・ា・ស・្・រ・្・ត
កេរ្តិ៍	ក・េ・រ・្・ត・ិ・៍
ជលសាស្រ្ត	ជ・ល・ស・ា・ស・្・រ・្・ត
ធារាសាស្រ្ត	ធ・ា・រ・ា・ស・ា・ស・្・រ・្・ត
ធារាសាស្រ្តកសិកម្ម	ធ・ា・រ・ា・ស・ា・ស・្・រ・្・ត・ក・ស・ិ・ក・ម・្・ម
នាដសាស្រ្ត	ន・ា・ដ・ស・ា・ស・្・រ・្・ត
នាយករដ្ឋមន្រ្តី	ន・ា・យ・ក・រ・ដ・្・ឋ・ម・ន・្・រ・្・ត・ី
បកកេរ្តិ៍	ប・ក・ក・េ・រ・្・ត・ិ・៍
បរិហារកេរ្តិ៍	ប・រ・ិ・ហ・ា・រ・ក・េ・រ・្・ត・ិ・៍
បុរេប្រវត្តិសាស្រ្ត	ប・ុ・រ・េ・ប・្・រ・វ・ត・្・ត・ិ・ស・ា・ស・្・រ・្・ត
ពស្រ្ត	ព・ស・្・រ・្・ត
មានកេរ្តិ៍ឈ្មោះ	ម・ា・ន・ក・េ・រ・្・ត・ិ・៍・ឈ・្・ម・ោ・ះ
មូរ្តី	ម・ូ・រ・្・ត・ី
យកកេរ្តិ៍ឈ្មោះ	យ・ក・ក・េ・រ・្・ត・ិ・៍・ឈ・្・ម・ោ・ះ
រាមកិរ្តិ៍	រ・ា・ម・ក・ិ・រ・្・ត・ិ・៍
រាមកេរ្តិ៍	រ・ា・ម・ក・េ・រ・្・ត・ិ・៍
រូបសាស្រ្ត	រ・ូ・ប・ស・ា・ស・្・រ・្・ត
រូបសាស្រ្តផែនដី	រ・ូ・ប・ស・ា・ស・្・រ・្・ត・ផ・ែ・ន・ដ・ី
វិទ្យាសាស្រ្ត	វ・ិ・ទ・្・យ・ា・ស・ា・ស・្・រ・្・ត
វិធីសាស្រ្ត	វ・ិ・ធ・ី・ស・ា・ស・្・រ・្・ត
វោហារសាស្រ្ត	វ・ោ・ហ・ា・រ・ស・ា・ស・្・រ・្・ត
សង្រ្គាមចិត្តសាស្រ្ត	ស・ង・្・រ・្・គ・ា・ម・ច・ិ・ត・្・ត・ស・ា・ស・្・រ・្・ត
សាស្រ្តាទេសន៍	ស・ា・ស・្・រ・្・ត・ា・ទ・េ・ស・ន・៍
សាស្រ្តាក្បួន	ស・ា・ស・្・រ・្・ត・ា・ក・្・ប・ួ・ន
សាស្រ្តាច្បាប់	ស・ា・ស・្・រ・្・ត・ា・ច・្・ប・ា・ប・់
សាស្រ្តាល្បែង	ស・ា・ស・្・រ・្・ត・ា・ល・្・ប・ែ・ង
សើយកេរ្តិ៍	ស・ើ・យ・ក・េ・រ・្・ត・ិ・៍
ស្មារ្តី	ស・្・ម・ា・រ・្・ត・ី
ហែកកេរ្តិ៍	ហ・ែ・ក・ក・េ・រ・្・ត・ិ・៍
កេរ្តិ៍អសោច	ក・េ・រ・្・ត・ិ・៍・អ・ស・ោ・ច
អសោចកេរ្តិ៍ឈ្មោះ	អ・ស・ោ・ច・ក・េ・រ・្・ត・ិ・៍・ឈ・្・ម・ោ・ះ
អាម៉ាស់កេរ្តិ៍	អ・ា・ម・៉・ា・ស・់・ក・េ・រ・្・ត・ិ・៍
អូស្រ្តាឡូពីតែក	អ・ូ・ស・្・រ・្・ត・ា・ឡ・ូ・ព・ី・ត・ែ・ក
