កក់ក្ដៅ	កក់ក្ដៅ	ក・ក・់・ក・្・ដ・ៅ
កាត់ក្ដី	កាត់|ក្ដី	ក・ា・ត・់・ក・្・ដ・ី
កែវមុក្ដា	កែវ|មុក្ដា	ក・ែ・វ・ម・ុ・ក・្・ដ・ា
ក្ដ	ក្ដ	ក・្・ដ
ក្ដក់	ក្ដក់	ក・្・ដ・ក・់
ក្ដាត់	ក្ដាត់	ក・្・ដ・ា・ត・់
ក្ដាន់	ក្ដាន់	ក・្・ដ・ា・ន・់
ក្ដាប់	ក្ដាប់	ក・្・ដ・ា・ប・់
ក្ដាម	ក្ដាម	ក・្・ដ・ា・ម
ក្ដារ	ក្ដារ	ក・្・ដ・ា・រ
ក្ដារក្រាល	ក្ដារ|ក្រាល	ក・្・ដ・ា・រ・ក・្・រ・ា・ល
ក្ដារខៀន	ក្ដារ|ខៀន	ក・្・ដ・ា・រ・ខ・ៀ・ន
ក្ដារឆ្នួន	ក្ដារ|ឆ្នួន	ក・្・ដ・ា・រ・ឆ・្・ន・ួ・ន
ក្ដារប្រកាស	ក្ដារ|ប្រកាស	ក・្・ដ・ា・រ・ប・្・រ・ក・ា・ស
ក្ដាំ	ក្ដាំ	ក・្・ដ・ា・ំ
ក្ដាំង	ក្ដាំង	ក・្・ដ・ា・ំ・ង
ក្ដិច	ក្ដិច	ក・្・ដ・ិ・ច
ក្ដិត	ក្ដិត	ក・្・ដ・ិ・ត
ក្ដី	ក្ដី	ក・្・ដ・ី
ក្ដីក្ដាំ	ក្ដី|ក្ដាំ	ក・្・ដ・ី・ក・្・ដ・ា・ំ
ក្ដីក្ដាំ	ក្ដី|ក្ដាំ	ក・្・ដ・ី・ក・្・ដ・ា・ំ
ក្ដីដូង	ក្ដី|ដូង	ក・្・ដ・ី・ដ・ូ・ង
ក្ដីសង្ឃឹម	ក្ដី|សង្ឃឹម	ក・្・ដ・ី・ស・ង・្・ឃ・ឹ・ម
ក្ដីស្រឡាញ់	ក្ដី|ស្រឡាញ់	ក・្・ដ・ី・ស・្・រ・ឡ・ា・ញ・់
ក្ដឹប	ក្ដឹប	ក・្・ដ・ឹ・ប
ក្ដុក	ក្ដុក	ក・្・ដ・ុ・ក
ក្ដុកក្ដួល	ក្ដុកក្ដួល	ក・្・ដ・ុ・ក・ក・្・ដ・ួ・ល
ក្ដុកក្ដួល	ក្ដុកក្ដួល	ក・្・ដ・ុ・ក・ក・្・ដ・ួ・ល
ក្ដុងក្ដាំង	ក្ដុង|ក្ដាំង	ក・្・ដ・ុ・ង・ក・្・ដ・ា・ំ・ង
ក្ដុងក្ដាំង	ក្ដុង|ក្ដាំង	ក・្・ដ・ុ・ង・ក・្・ដ・ា・ំ・ង
ក្ដុល	ក្ដុល	ក・្・ដ・ុ・ល
ក្ដួច	ក្ដួច	ក・្・ដ・ួ・ច
ក្ដួល	ក្ដួល	ក・្・ដ・ួ・ល
ក្ដួលអាណិត	ក្ដួល|អាណិត	ក・្・ដ・ួ・ល・អ・ា・ណ・ិ・ត
ក្ដឿង	ក្ដឿង	ក・្・ដ・ឿ・ង
ក្ដៀន	ក្ដៀន	ក・្・ដ・ៀ・ន
ក្ដៀប	ក្ដៀប	ក・្・ដ・ៀ・ប
ក្ដេម៉ូត	ក្ដេម៉ូត	ក・្・ដ・េ・ម・៉・ូ・ត
ក្ដេរ៉ូថែម	ក្ដេរ៉ូថែម	ក・្・ដ・េ・រ・៉・ូ・ថ・ែ・ម
ក្ដែង	ក្ដែង	ក・្・ដ・ែ・ង
ក្ដែងៗ	ក្ដែង|ៗ	ក・្・ដ・ែ・ង・ៗ
ក្ដោង	ក្ដោង	ក・្・ដ・ោ・ង
ក្ដោប	ក្ដោប	ក・្・ដ・ោ・ប
ក្ដោបក្ដាប់	ក្ដោប|ក្ដាប់	ក・្・ដ・ោ・ប・ក・្・ដ・ា・ប・់
ក្ដោបក្ដាប់	ក្ដោប|ក្ដាប់	ក・្・ដ・ោ・ប・ក・្・ដ・ា・ប・់
ក្ដោបក្តាប់	ក្ដោប|ក្តាប់	ក・្・ដ・ោ・ប・ក・្・ត・ា・ប・់
ក្ដៅ	ក្ដៅ	ក・្・ដ・ៅ
ក្ដៅក្រហាយ	ក្ដៅ|ក្រហាយ	ក・្・ដ・ៅ・ក・្・រ・ហ・ា・យ
ក្ដៅខ្លួន	ក្ដៅ|ខ្លួន	ក・្・ដ・ៅ・ខ・្・ល・ួ・ន
ក្ដៅស្លឹកត្រចៀក	ក្ដៅ|ស្លឹក|ត្រចៀក	ក・្・ដ・ៅ・ស・្・ល・ឹ・ក・ត・្・រ・ច・ៀ・ក
ក្ដៅស្អុះ	ក្ដៅ|ស្អុះ	ក・្・ដ・ៅ・ស・្・អ・ុ・ះ
ក្ដៅហែង	ក្ដៅ|ហែង	ក・្・ដ・ៅ・ហ・ែ・ង
ក្ដៅៗ	ក្ដៅ|ៗ	ក・្・ដ・ៅ・ៗ
ចាញ់ក្ដី	ចាញ់|ក្ដី	ច・ា・ញ・់・ក・្・ដ・ី
ចិត្តក្ដៅ	ចិត្ត|ក្ដៅ	ច・ិ・ត・្・ត・ក・្・ដ・ៅ
ដឹងក្ដី	ដឹង|ក្ដី	ដ・ឹ・ង・ក・្・ដ・ី
ត្រពាំងក្ដុល	ត្រពាំង|ក្ដុល	ត・្・រ・ព・ា・ំ・ង・ក・្・ដ・ុ・ល
ទឹកក្ដៅ	ទឹក|ក្ដៅ	ទ・ឹ・ក・ក・្・ដ・ៅ
ធម៌ក្ដៅ	ធម៌|ក្ដៅ	ធ・ម・៌・ក・្・ដ・ៅ
នេះក្ដី	នេះ|ក្ដី	ន・េ・ះ・ក・្・ដ・ី
ភក្ដី	ភក្ដី	ភ・ក・្・ដ・ី
ភក្ដីភាព	ភក្ដី|ភាព	ភ・ក・្・ដ・ី・ភ・ា・ព
ភាពក្ដៅ	ភាព|ក្ដៅ	ភ・ា・ព・ក・្・ដ・ៅ
មិត្តភក្ដិ	មិត្ត|ភក្ដិ	ម・ិ・ត・្・ត・ភ・ក・្・ដ・ិ
មិត្រភក្ដិ	មិត្រ|ភក្ដិ	ម・ិ・ត・្・រ・ភ・ក・្・ដ・ិ
មួយក្ដាប់	មួយ|ក្ដាប់	ម・ួ・យ・ក・្・ដ・ា・ប・់
យសស័ក្ដិ	យស|ស័ក្ដិ	យ・ស・ស・័・ក・្・ដ・ិ
រដូវក្ដៅ	រដូវ|ក្ដៅ	រ・ដ・ូ・វ・ក・្・ដ・ៅ
សរុបសេចក្ដី	សរុប|សេចក្ដី	ស・រ・ុ・ប・ស・េ・ច・ក・្・ដ・ី
សេចក្ដី	សេចក្ដី	ស・េ・ច・ក・្・ដ・ី
សេចក្ដីជូនដំណឹង	សេចក្ដី|ជូន|ដំណឹង	ស・េ・ច・ក・្・ដ・ី・ជ・ូ・ន・ដ・ំ・ណ・ឹ・ង
សេចក្ដីថ្លៃថ្នូរ	សេចក្ដី|ថ្លៃថ្នូរ	ស・េ・ច・ក・្・ដ・ី・ថ・្・ល・ៃ・ថ・្・ន・ូ・រ
សេចក្ដីប្រាថ្នា	សេចក្ដី|ប្រាថ្នា	ស・េ・ច・ក・្・ដ・ី・ប・្・រ・ា・ថ・្・ន・ា
សេចក្ដីផ្ដើម	សេចក្ដី|ផ្ដើម	ស・េ・ច・ក・្・ដ・ី・ផ・្・ដ・ើ・ម
សេចក្ដីពិត	សេចក្ដី|ពិត	ស・េ・ច・ក・្・ដ・ី・ព・ិ・ត
សេចក្ដីរាយការណ៍	សេចក្ដី|រាយការណ៍	ស・េ・ច・ក・្・ដ・ី・រ・ា・យ・ក・ា・រ・ណ・៍
សេចក្ដីសន្យា	សេចក្ដី|សន្យា	ស・េ・ច・ក・្・ដ・ី・ស・ន・្・យ・ា
សេចក្ដីសុខ	សេចក្ដី|សុខ	ស・េ・ច・ក・្・ដ・ី・ស・ុ・ខ
សេចក្ដីសុចរិត	សេចក្ដី|សុចរិត	ស・េ・ច・ក・្・ដ・ី・ស・ុ・ច・រ・ិ・ត
សេចក្ដីស្រឡាញ់	សេចក្ដី|ស្រឡាញ់	ស・េ・ច・ក・្・ដ・ី・ស・្・រ・ឡ・ា・ញ・់
សេចក្ដីអញ្ជើញ	សេចក្ដី|អញ្ជើញ	ស・េ・ច・ក・្・ដ・ី・អ・ញ・្・ជ・ើ・ញ
ស័ក្ដិ	ស័ក្ដិ	ស・័・ក・្・ដ・ិ
ស័ក្ដិសម	ស័ក្ដិសម	ស・័・ក・្・ដ・ិ・ស・ម
ស័ក្ដិសិទ្ធិ	ស័ក្ដិសិទ្ធិ	ស・័・ក・្・ដ・ិ・ស・ិ・ទ・្・ធ・ិ
ស្ពានក្ដារ	ស្ពាន|ក្ដារ	ស・្・ព・ា・ន・ក・្・ដ・ា・រ
ស្ពៃក្ដោប	ស្ពៃ|ក្ដោប	ស・្・ព・ៃ・ក・្・ដ・ោ・ប
ស្លាបក្ដោង	ស្លាប|ក្ដោង	ស・្・ល・ា・ប・ក・្・ដ・ោ・ង
