កណ្ដក់	កណ្ដក់	ក・ណ・្・ដ・ក・់
កណ្ដប	កណ្ដប	ក・ណ・្・ដ・ប
កណ្ដាច	កណ្ដាច	ក・ណ・្・ដ・ា・ច
កណ្ដាច់កណ្ដាច	កណ្ដាច់|កណ្ដាច	ក・ណ・្・ដ・ា・ច・់・ក・ណ・្・ដ・ា・ច
កណ្ដាច់កណ្ដាច	កណ្ដាច់|កណ្ដាច	ក・ណ・្・ដ・ា・ច・់・ក・ណ・្・ដ・ា・ច
កណ្ដាប់	កណ្ដាប់	ក・ណ・្・ដ・ា・ប・់
កណ្ដាប់ដៃ	កណ្ដាប់|ដៃ	ក・ណ・្・ដ・ា・ប・់・ដ・ៃ
កណ្ដាល	កណ្ដាល	ក・ណ・្・ដ・ា・ល
កណ្ដាលចំណោម	កណ្ដាល|ចំណោម	ក・ណ・្・ដ・ា・ល・ច・ំ・ណ・ោ・ម
កណ្ដាលថ្ងៃ	កណ្ដាល|ថ្ងៃ	ក・ណ・្・ដ・ា・ល・ថ・្・ង・ៃ
កណ្ដាលផ្លូវ	កណ្ដាល|ផ្លូវ	ក・ណ・្・ដ・ា・ល・ផ・្・ល・ូ・វ
កណ្ដាលយប់	កណ្ដាល|យប់	ក・ណ・្・ដ・ា・ល・យ・ប・់
កណ្ដាលស្ទឹង	កណ្ដាល|ស្ទឹង	ក・ណ・្・ដ・ា・ល・ស・្・ទ・ឹ・ង
កណ្ដាលអធ្រាត្រ	កណ្ដាល|អធ្រាត្រ	ក・ណ・្・ដ・ា・ល・អ・ធ・្・រ・ា・ត・្・រ
កណ្ដាស់	កណ្ដាស់	ក・ណ・្・ដ・ា・ស・់
កណ្ដឹង	កណ្ដឹង	ក・ណ・្・ដ・ឹ・ង
កណ្ដុរ	កណ្ដុរ	ក・ណ・្・ដ・ុ・រ
កណ្ដុរប្រែង	កណ្ដុរ|ប្រែង	ក・ណ・្・ដ・ុ・រ・ប・្・រ・ែ・ង
កណ្ដុរល្មែះ	កណ្ដុរ|ល្មែះ	ក・ណ・្・ដ・ុ・រ・ល・្・ម・ែ・ះ
កណ្ដូប	កណ្ដូប	ក・ណ・្・ដ・ូ・ប
កណ្ដៀ	កណ្ដៀ	ក・ណ・្・ដ・ៀ
កណ្ដៀង	កណ្ដៀង	ក・ណ・្・ដ・ៀ・ង
កណ្ដៀត	កណ្ដៀត	ក・ណ・្・ដ・ៀ・ត
កណ្ដៀតក្អម	កណ្ដៀត|ក្អម	ក・ណ・្・ដ・ៀ・ត・ក・្・អ・ម
កណ្ដៀរ	កណ្ដៀរ	ក・ណ・្・ដ・ៀ・រ
កណ្ដៀវ	កណ្ដៀវ	ក・ណ・្・ដ・ៀ・វ
កណ្ដែង	កណ្ដែង	ក・ណ・្・ដ・ែ・ង
កណ្ដោច	កណ្ដោច	ក・ណ・្・ដ・ោ・ច
កណ្ដោចកណ្ដែង	កណ្ដោចកណ្ដែង	ក・ណ・្・ដ・ោ・ច・ក・ណ・្・ដ・ែ・ង
កណ្ដោចកណ្ដែង	កណ្ដោចកណ្ដែង	ក・ណ・្・ដ・ោ・ច・ក・ណ・្・ដ・ែ・ង
កណ្ដោល	កណ្ដោល	ក・ណ・្・ដ・ោ・ល
កាំជណ្ដើរ	កាំ|ជណ្ដើរ	ក・ា・ំ・ជ・ណ・្・ដ・ើ・រ
កោះអណ្ដែត	កោះ|អណ្ដែត	ក・ោ・ះ・អ・ណ・្・ដ・ែ・ត
ខាំអណ្ដាត	ខាំ|អណ្ដាត	ខ・ា・ំ・អ・ណ・្・ដ・ា・ត
ខែត្រកណ្ដាល	ខែ|ត្រ|កណ្ដាល	ខ・ែ・ត・្・រ・ក・ណ・្・ដ・ា・ល
គូដណ្ដឹង	គូ|ដណ្ដឹង	គ・ូ・ដ・ណ・្・ដ・ឹ・ង
គ្របដណ្ដប់	គ្រប|ដណ្ដប់	គ・្・រ・ប・ដ・ណ・្・ដ・ប・់
ចាំបណ្ដាំ	ចាំ|បណ្ដាំ	ច・ា・ំ・ប・ណ・្・ដ・ា・ំ
ចំកណ្ដាល	ចំ|កណ្ដាល	ច・ំ・ក・ណ・្・ដ・ា・ល
ជណ្ដើរ	ជណ្ដើរ	ជ・ណ・្・ដ・ើ・រ
ដណ្ដប់	ដណ្ដប់	ដ・ណ・្・ដ・ប・់
ដណ្ដាំ	ដណ្ដាំ	ដ・ណ・្・ដ・ា・ំ
ដណ្ដាំស្ល	ដណ្ដាំ|ស្ល	ដ・ណ・្・ដ・ា・ំ・ស・្・ល
ដណ្ដឹង	ដណ្ដឹង	ដ・ណ・្・ដ・ឹ・ង
ដណ្ដើម	ដណ្ដើម	ដ・ណ・្・ដ・ើ・ម
ដណ្ដើមយក	ដណ្ដើម|យក	ដ・ណ・្・ដ・ើ・ម・យ・ក
ដាក់ពាក្យបណ្ដឹង	ដាក់|ពាក្យ|បណ្ដឹង	ដ・ា・ក・់・ព・ា・ក・្・យ・ប・ណ・្・ដ・ឹ・ង
ដើមបណ្ដឹង	ដើម|បណ្ដឹង	ដ・ើ・ម・ប・ណ・្・ដ・ឹ・ង
ដែនដីសណ្ដ	ដែន|ដី|សណ្ដ	ដ・ែ・ន・ដ・ី・ស・ណ・្・ដ
ត្រពាំងកណ្ដោល	ត្រពាំង|កណ្ដោល	ត・្・រ・ព・ា・ំ・ង・ក・ណ・្・ដ・ោ・ល
ធ្លាក់រណ្ដៅ	ធ្លាក់|រណ្ដៅ	ធ・្・ល・ា・ក・់・រ・ណ・្・ដ・ៅ
នៅកណ្ដាល	នៅ|កណ្ដាល	ន・ៅ・ក・ណ・្・ដ・ា・ល
បណ្ដា	បណ្ដា	ប・ណ・្・ដ・ា
បណ្ដាការ	បណ្ដាការ	ប・ណ・្・ដ・ា・ក・ា・រ
បណ្ដាក់	បណ្ដាក់	ប・ណ・្・ដ・ា・ក・់
បណ្ដាក់គ្នា	បណ្ដាក់|គ្នា	ប・ណ・្・ដ・ា・ក・់・គ・្・ន・ា
បណ្ដាក់ទុន	បណ្ដាក់|ទុន	ប・ណ・្・ដ・ា・ក・់・ទ・ុ・ន
បណ្ដាច់	បណ្ដាច់	ប・ណ・្・ដ・ា・ច・់
បណ្ដាជន	បណ្ដា|ជន	ប・ណ・្・ដ・ា・ជ・ន
បណ្ដាញ	បណ្ដាញ	ប・ណ・្・ដ・ា・ញ
បណ្ដាល	បណ្ដាល	ប・ណ・្・ដ・ា・ល
បណ្ដាលមក	បណ្ដាល|មក	ប・ណ・្・ដ・ា・ល・ម・ក
បណ្ដាលមកពី	បណ្ដាល|មក|ពី	ប・ណ・្・ដ・ា・ល・ម・ក・ព・ី
បណ្ដាលហេតុ	បណ្ដាល|ហេតុ	ប・ណ・្・ដ・ា・ល・ហ・េ・ត・ុ
បណ្ដាលឲ្យ	បណ្ដាល|ឲ្យ	ប・ណ・្・ដ・ា・ល・ឲ・្・យ
បណ្ដាលឲ្យមាន	បណ្ដាល|ឲ្យ|មាន	ប・ណ・្・ដ・ា・ល・ឲ・្・យ・ម・ា・ន
បណ្ដាសា	បណ្ដាសា	ប・ណ・្・ដ・ា・ស・ា
បណ្ដាំ	បណ្ដាំ	ប・ណ・្・ដ・ា・ំ
បណ្ដឹង	បណ្ដឹង	ប・ណ・្・ដ・ឹ・ង
បណ្ដុំ	បណ្ដុំ	ប・ណ・្・ដ・ុ・ំ
បណ្ដុះ	បណ្ដុះ	ប・ណ・្・ដ・ុ・ះ
បណ្ដុះបណ្ដាល	បណ្ដុះបណ្ដាល	ប・ណ・្・ដ・ុ・ះ・ប・ណ・្・ដ・ា・ល
បណ្ដុះបណ្ដាល	បណ្ដុះបណ្ដាល	ប・ណ・្・ដ・ុ・ះ・ប・ណ・្・ដ・ា・ល
បណ្ដូល	បណ្ដូល	ប・ណ・្・ដ・ូ・ល
បណ្ដើរ	បណ្ដើរ	ប・ណ・្・ដ・ើ・រ
បណ្ដើរគ្នា	បណ្ដើរ|គ្នា	ប・ណ・្・ដ・ើ・រ・គ・្・ន・ា
បណ្ដេញ	បណ្ដេញ	ប・ណ・្・ដ・េ・ញ
បណ្ដែត	បណ្ដែត	ប・ណ・្・ដ・ែ・ត
បណ្ដែតបណ្ដោយ	បណ្ដែត|បណ្ដោយ	ប・ណ・្・ដ・ែ・ត・ប・ណ・្・ដ・ោ・យ
បណ្ដែតបណ្ដោយ	បណ្ដែត|បណ្ដោយ	ប・ណ・្・ដ・ែ・ត・ប・ណ・្・ដ・ោ・យ
បណ្ដោយ	បណ្ដោយ	ប・ណ・្・ដ・ោ・យ
បណ្ដោយឲ្យ	បណ្ដោយ|ឲ្យ	ប・ណ・្・ដ・ោ・យ・ឲ・្・យ
បណ្ដោះ	បណ្ដោះ	ប・ណ・្・ដ・ោ・ះ
បណ្ដោះអាសន្ន	បណ្ដោះ|អាសន្ន	ប・ណ・្・ដ・ោ・ះ・អ・ា・ស・ន・្・ន
បណ្ដៅ	បណ្ដៅ	ប・ណ・្・ដ・ៅ
បាតអណ្ដូង	បាត|អណ្ដូង	ប・ា・ត・អ・ណ・្・ដ・ូ・ង
ពាក់កណ្ដាល	ពាក់កណ្ដាល	ព・ា・ក・់・ក・ណ・្・ដ・ា・ល
ពាក់កណ្ដាលផ្លូវ	ពាក់កណ្ដាល|ផ្លូវ	ព・ា・ក・់・ក・ណ・្・ដ・ា・ល・ផ・្・ល・ូ・វ
ពាក្យបណ្ដឹង	ពាក្យ|បណ្ដឹង	ព・ា・ក・្・យ・ប・ណ・្・ដ・ឹ・ង
ពាក្យបណ្ដៅ	ពាក្យ|បណ្ដៅ	ព・ា・ក・្・យ・ប・ណ・្・ដ・ៅ
ព្រះបណ្ដាំ	ព្រះ|បណ្ដាំ	ព・្・រ・ះ・ប・ណ・្・ដ・ា・ំ
ព្រះសណ្ដាប់	ព្រះ|សណ្ដាប់	ព・្・រ・ះ・ស・ណ・្・ដ・ា・ប・់
ភាពកណ្ដាល	ភាព|កណ្ដាល	ភ・ា・ព・ក・ណ・្・ដ・ា・ល
មនុស្សកណ្ដាល	មនុស្ស|កណ្ដាល	ម・ន・ុ・ស・្・ស・ក・ណ・្・ដ・ា・ល
មានសណ្ដាប់ធ្នាប់	មាន|សណ្ដាប់ធ្នាប់	ម・ា・ន・ស・ណ・្・ដ・ា・ប・់・ធ・្・ន・ា・ប・់
មេអណ្ដើក	មេ|អណ្ដើក	ម・េ・អ・ណ・្・ដ・ើ・ក
រណ្ដាប់	រណ្ដាប់	រ・ណ・្・ដ・ា・ប・់
រណ្ដៅ	រណ្ដៅ	រ・ណ・្・ដ・ៅ
រណ្ដំ	រណ្ដំ	រ・ណ・្・ដ・ំ
រត់បណ្ដាក់	រត់|បណ្ដាក់	រ・ត・់・ប・ណ・្・ដ・ា・ក・់
លៀនអណ្ដាត	លៀន|អណ្ដាត	ល・ៀ・ន・អ・ណ・្・ដ・ា・ត
សណ្ដ	សណ្ដ	ស・ណ・្・ដ
សណ្ដក	សណ្ដក	ស・ណ・្・ដ・ក
សណ្ដង់	សណ្ដង់	ស・ណ・្・ដ・ង・់
សណ្ដា	សណ្ដា	ស・ណ・្・ដ・ា
សណ្ដាន់	សណ្ដាន់	ស・ណ・្・ដ・ា・ន・់
សណ្ដាប់	សណ្ដាប់	ស・ណ・្・ដ・ា・ប・់
សណ្ដាប់ធ្នាប់	សណ្ដាប់ធ្នាប់	ស・ណ・្・ដ・ា・ប・់・ធ・្・ន・ា・ប・់
