ឧត្ដម	ឧត្ដម	ឧ・ត・្・ដ・ម
លោកុប្បត្ដិ	លោកុប្បត្ដិ	ល・ោ・ក・ុ・ប・្・ប・ត・្・ដ・ិ
សម្រេចចិត្ដ	សម្រេច|ចិត្ដ	ស・ម・្・រ・េ・ច・ច・ិ・ត・្・ដ
ប្រព្រឹត្ដ	ប្រព្រឹត្ដ	ប・្・រ・ព・្・រ・ឹ・ត・្・ដ
ឯកឧត្ដម	ឯក|ឧត្ដម	ឯ・ក・ឧ・ត・្・ដ・ម
ឧត្ដុង្គ	ឧត្ដុង្គ	ឧ・ត・្・ដ・ុ・ង・្・គ
ចិត្ដ	ចិត្ដ	ច・ិ・ត・្・ដ
ឧត្ដមឧត្ដុង្គ	ឧត្ដម|ឧត្ដុង្គ	ឧ・ត・្・ដ・ម・ឧ・ត・្・ដ・ុ・ង・្・គ
ឧត្ដមឧត្ដុង្គ	ឧត្ដម|ឧត្ដុង្គ	ឧ・ត・្・ដ・ម・ឧ・ត・្・ដ・ុ・ង・្・គ
អយុត្ដិធម៌	អយុត្ដិធម៌	អ・យ・ុ・ត・្・ដ・ិ・ធ・ម・៌
អនុវត្ដ	អនុវត្ដ	អ・ន・ុ・វ・ត・្・ដ
ឧត្ដុង្គឧត្ដម	ឧត្ដុង្គឧត្ដម	ឧ・ត・្・ដ・ុ・ង・្・គ・ឧ・ត・្・ដ・ម
ឧត្ដុង្គឧត្ដម	ឧត្ដុង្គឧត្ដម	ឧ・ត・្・ដ・ុ・ង・្・គ・ឧ・ត・្・ដ・ម
ទាន់ចិត្ដ	ទាន់|ចិត្ដ	ទ・ា・ន・់・ច・ិ・ត・្・ដ
សុខចិត្ដ	សុខ|ចិត្ដ	ស・ុ・ខ・ច・ិ・ត・្・ដ
ឧត្ដរ	ឧត្ដរ	ឧ・ត・្・ដ・រ
កិត្ដិយស	កិត្ដិយស	ក・ិ・ត・្・ដ・ិ・យ・ស
កត្ដិក	កត្ដិក	ក・ត・្・ដ・ិ・ក
ឧត្តុង្គឧត្ដម	ឧត្តុង្គឧត្ដម	ឧ・ត・្・ត・ុ・ង・្・គ・ឧ・ត・្・ដ・ម
