ប្ដូរផ្តាច់	ប・្・ដ・ូ・រ・ផ・្・ត・ា・ច・់
ការផ្លាស់ប្ដូរ	ក・ា・រ・ផ・្・ល・ា・ស・់・ប・្・ដ・ូ・រ
សប្ដិ	ស・ប・្・ដ・ិ
ប្ដីៗ	ប・្・ដ・ី・ៗ
ផ្លាស់ប្ដូរ	ផ・្・ល・ា・ស・់・ប・្・ដ・ូ・រ
សប្ដាហ៍	ស・ប・្・ដ・ា・ហ・៍
ប្ដូរជីវិត	ប・្・ដ・ូ・រ・ជ・ី・វ・ិ・ត
ការប្ដេជ្ញាចិត្ត	ក・ា・រ・ប・្・ដ・េ・ជ・្・ញ・ា・ច・ិ・ត・្・ត
ប្ដូរផ្ដាច់	ប・្・ដ・ូ・រ・ផ・្・ដ・ា・ច・់
ប្ដូរ	ប・្・ដ・ូ・រ
សប្ដាហ៍*	ស・ប・្・ដ・ា・ហ・៍・*
ប្ដេជ្ញាចិត្ត	ប・្・ដ・េ・ជ・្・ញ・ា・ច・ិ・ត・្・ត
ប្ដឹងផ្ដល់	ប・្・ដ・ឹ・ង・ផ・្・ដ・ល・់
ប្ដឹងតវ៉ា	ប・្・ដ・ឹ・ង・ត・វ・៉・ា
ប្ដេជ្ញា	ប・្・ដ・េ・ជ・្・ញ・ា
ប្ដី	ប・្・ដ・ី
ប្ដឹង	ប・្・ដ・ឹ・ង
យល់សប្ដិ	យ・ល・់・ស・ប・្・ដ・ិ
ការប្ដេជ្ញា	ក・ា・រ・ប・្・ដ・េ・ជ・្・ញ・ា
