ចាប់ផ្ដើម	ចាប់ផ្ដើម	ច・ា・ប・់・ផ・្・ដ・ើ・ម
ផ្ដិត	ផ្ដិត	ផ・្・ដ・ិ・ត
ផ្ដើម	ផ្ដើម	ផ・្・ដ・ើ・ម
ផ្ដោត	ផ្ដោត	ផ・្・ដ・ោ・ត
ផ្ដាស	ផ្ដាស	ផ・្・ដ・ា・ស
ផ្ដាំផ្ញើ	ផ្ដាំ|ផ្ញើ	ផ・្・ដ・ា・ំ・ផ・្・ញ・ើ
ផ្ដេសផ្ដាស	ផ្ដេសផ្ដាស	ផ・្・ដ・េ・ស・ផ・្・ដ・ា・ស
ផ្ដេសផ្ដាស	ផ្ដេសផ្ដាស	ផ・្・ដ・េ・ស・ផ・្・ដ・ា・ស
គ្រុនផ្ដាសាយ	គ្រុន|ផ្ដាសាយ	គ・្・រ・ុ・ន・ផ・្・ដ・ា・ស・ា・យ
ប្រមូលផ្ដុំ	ប្រមូល|ផ្ដុំ	ប・្・រ・ម・ូ・ល・ផ・្・ដ・ុ・ំ
អ្នកផ្ដល់	អ្នក|ផ្ដល់	អ・្・ន・ក・ផ・្・ដ・ល・់
កាត់ផ្ដាច់	កាត់|ផ្ដាច់	ក・ា・ត・់・ផ・្・ដ・ា・ច・់
ផ្ដាសាយ	ផ្ដាសាយ	ផ・្・ដ・ា・ស・ា・យ
ផ្ដែផ្ដាំ	ផ្ដែ|ផ្ដាំ	ផ・្・ដ・ែ・ផ・្・ដ・ា・ំ
ផ្ដែផ្ដាំ	ផ្ដែ|ផ្ដាំ	ផ・្・ដ・ែ・ផ・្・ដ・ា・ំ
សេចក្ដីផ្ដើម	សេចក្ដី|ផ្ដើម	ស・េ・ច・ក・្・ដ・ី・ផ・្・ដ・ើ・ម
ផ្ដិល	ផ្ដិល	ផ・្・ដ・ិ・ល
ផ្ដេកផ្ដិត	ផ្ដេក|ផ្ដិត	ផ・្・ដ・េ・ក・ផ・្・ដ・ិ・ត
ផ្ដេកផ្ដិត	ផ្ដេក|ផ្ដិត	ផ・្・ដ・េ・ក・ផ・្・ដ・ិ・ត
ផ្ដាច់ការ	ផ្ដាច់ការ	ផ・្・ដ・ា・ច・់・ក・ា・រ
ផ្ដន្ទាទោស	ផ្ដន្ទា|ទោស	ផ・្・ដ・ន・្・ទ・ា・ទ・ោ・ស
ផ្ដិតមេដៃ	ផ្ដិត|មេ|ដៃ	ផ・្・ដ・ិ・ត・ម・េ・ដ・ៃ
ផ្ដន្ទា	ផ្ដន្ទា	ផ・្・ដ・ន・្・ទ・ា
ចាប់ផ្ដើមប្រាប់	ចាប់ផ្ដើម|ប្រាប់	ច・ា・ប・់・ផ・្・ដ・ើ・ម・ប・្・រ・ា・ប・់
ផ្ដេក	ផ្ដេក	ផ・្・ដ・េ・ក
ផ្ដាស៊ើរ	ផ្ដាស៊ើរ	ផ・្・ដ・ា・ស・៊・ើ・រ
ផ្ដាច់មុខ	ផ្ដាច់|មុខ	ផ・្・ដ・ា・ច・់・ម・ុ・ខ
ផ្ដុំ	ផ្ដុំ	ផ・្・ដ・ុ・ំ
ផ្ដែ	ផ្ដែ	ផ・្・ដ・ែ
ប្ដូរផ្ដាច់	ប្ដូរផ្ដាច់	ប・្・ដ・ូ・រ・ផ・្・ដ・ា・ច・់
ផ្ដេច	ផ្ដេច	ផ・្・ដ・េ・ច
គឺផ្ដោត	គឺ|ផ្ដោត	គ・ឺ・ផ・្・ដ・ោ・ត
ផ្ដុង	ផ្ដុង	ផ・្・ដ・ុ・ង
ផ្ដើមនិយាយ	ផ្ដើម|និយាយ	ផ・្・ដ・ើ・ម・ន・ិ・យ・ា・យ
ផ្ដួចផ្ដើម	ផ្ដួច|ផ្ដើម	ផ・្・ដ・ួ・ច・ផ・្・ដ・ើ・ម
ផ្ដួចផ្ដើម	ផ្ដួច|ផ្ដើម	ផ・្・ដ・ួ・ច・ផ・្・ដ・ើ・ម
ប៉ផ្ដិត	ប៉ផ្ដិត	ប・៉・ផ・្・ដ・ិ・ត
ផ្ដាច់ព្រ័ត្រ	ផ្ដាច់|ព្រ័ត្រ	ផ・្・ដ・ា・ច・់・ព・្・រ・័・ត・្・រ
ផ្ដាច់	ផ្ដាច់	ផ・្・ដ・ា・ច・់
ផ្ដេកផ្ដួល	ផ្ដេក|ផ្ដួល	ផ・្・ដ・េ・ក・ផ・្・ដ・ួ・ល
ផ្ដេកផ្ដួល	ផ្ដេក|ផ្ដួល	ផ・្・ដ・េ・ក・ផ・្・ដ・ួ・ល
ផ្ដាំ	ផ្ដាំ	ផ・្・ដ・ា・ំ
ផ្ទុកផ្ដាក់	ផ្ទុក|ផ្ដាក់	ផ・្・ទ・ុ・ក・ផ・្・ដ・ា・ក・់
ផ្ដួច	ផ្ដួច	ផ・្・ដ・ួ・ច
ប៉ផ្ដក់	ប៉ផ្ដក់	ប・៉・ផ・្・ដ・ក・់
ផ្ដូរ	ផ្ដូរ	ផ・្・ដ・ូ・រ
