កុម្មុយនីស្ដ	កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
កោះស្ដេច	កោះ|ស្ដេច	ក・ោ・ះ・ស・្・ដ・េ・ច
កំពង់ស្ដាំ	កំពង់|ស្ដាំ	ក・ំ・ព・ង・់・ស・្・ដ・ា・ំ
ខាងស្ដាំ	ខាង|ស្ដាំ	ខ・ា・ង・ស・្・ដ・ា・ំ
គ្រិស្ដ	គ្រិស្ដ	គ・្・រ・ិ・ស・្・ដ
គ្រិស្ដ*	គ្រិស្ដ*	គ・្・រ・ិ・ស・្・ដ・*
គ្រិស្ដទូត	គ្រិស្ដ|ទូត	គ・្・រ・ិ・ស・្・ដ・ទ・ូ・ត
គ្រិស្ដបរិស័ទ	គ្រិស្ដ|បរិស័ទ	គ・្・រ・ិ・ស・្・ដ・ប・រ・ិ・ស・័・ទ
គ្រិស្ដសករាជ	គ្រិស្ដ|សករាជ	គ・្・រ・ិ・ស・្・ដ・ស・ក・រ・ា・ជ
គ្រូសូត្រស្ដាំ	គ្រូ|សូត្រ|ស្ដាំ	គ・្・រ・ូ・ស・ូ・ត・្・រ・ស・្・ដ・ា・ំ
ចេស្ដា	ចេស្ដា	ច・េ・ស・្・ដ・ា
ជាក់ស្ដែង	ជា|ក់ស្ដែង	ជ・ា・ក・់・ស・្・ដ・ែ・ង
ជឿស្ដាប់	ជឿ|ស្ដាប់	ជ・ឿ・ស・្・ដ・ា・ប・់
ដើម្បីស្ដាប់	ដើម្បី|ស្ដាប់	ដ・ើ・ម・្・ប・ី・ស・្・ដ・ា・ប・់
ដៃស្ដាំ	ដៃ|ស្ដាំ	ដ・ៃ・ស・្・ដ・ា・ំ
តិចតួចស្ដួចស្ដើង	តិចតួច|ស្ដួចស្ដើង	ត・ិ・ច・ត・ួ・ច・ស・្・ដ・ួ・ច・ស・្・ដ・ើ・ង
តិចតួចស្ដួចស្ដើង	តិចតួច|ស្ដួចស្ដើង	ត・ិ・ច・ត・ួ・ច・ស・្・ដ・ួ・ច・ស・្・ដ・ើ・ង
