កក់ក្តៅ	កក់ក្តៅ	ក・ក・់・ក・្・ត・ៅ
កាត់ក្តី	កាត់|ក្តី	ក・ា・ត・់・ក・្・ត・ី
កាត់សេចក្តី	កាត់|សេចក្តី	ក・ា・ត・់・ស・េ・ច・ក・្・ត・ី
កូនក្តី	កូន|ក្តី	ក・ូ・ន・ក・្・ត・ី
កែវមុក្តា	កែវ|មុក្តា	ក・ែ・វ・ម・ុ・ក・្・ត・ា
កំពង់ក្តារ	កំពង់|ក្តារ	ក・ំ・ព・ង・់・ក・្・ត・ា・រ
កំពង់ក្តី	កំពង់|ក្តី	ក・ំ・ព・ង・់・ក・្・ត・ី
ក្ដោបក្តាប់	ក្ដោប|ក្តាប់	ក・្・ដ・ោ・ប・ក・្・ត・ា・ប・់
ក្តន់	ក្តន់	ក・្・ត・ន・់
ក្តាក់	ក្តាក់	ក・្・ត・ា・ក・់
ក្តាញ់	ក្តាញ់	ក・្・ត・ា・ញ・់
ក្តាត	ក្តាត	ក・្・ត・ា・ត
ក្តាន់	ក្តាន់	ក・្・ត・ា・ន・់
ក្តាន់រយ	ក្តាន់|រយ	ក・្・ត・ា・ន・់・រ・យ
ក្តាប់	ក្តាប់	ក・្・ត・ា・ប・់
ក្តាមពុក	ក្តាម|ពុក	ក・្・ត・ា・ម・ព・ុ・ក
ក្តាមហា	ក្តាម|ហា	ក・្・ត・ា・ម・ហ・ា
ក្តារ	ក្តារ	ក・្・ត・ា・រ
ក្តារខៀន	ក្តារ|ខៀន	ក・្・ត・ា・រ・ខ・ៀ・ន
ក្តារមឈូស	ក្តារ|មឈូស	ក・្・ត・ា・រ・ម・ឈ・ូ・ស
ក្តិច	ក្តិច	ក・្・ត・ិ・ច
ក្តិប	ក្តិប	ក・្・ត・ិ・ប
ក្តិបថ្ម	ក្តិប|ថ្ម	ក・្・ត・ិ・ប・ថ・្・ម
ក្តី	ក្តី	ក・្・ត・ី
ក្តីក្តាំ	ក្តី|ក្តាំ	ក・្・ត・ី・ក・្・ត・ា・ំ
ក្តីក្តាំ	ក្តី|ក្តាំ	ក・្・ត・ី・ក・្・ត・ា・ំ
ក្តីខ្វាវ	ក្តី|ខ្វាវ	ក・្・ត・ី・ខ・្・វ・ា・វ
ក្តីចារ្យ	ក្តី|ចារ្យ	ក・្・ត・ី・ច・ា・រ・្・យ
ក្តីចាស់	ក្តី|ចាស់	ក・្・ត・ី・ច・ា・ស・់
ក្តីឈ្នួល	ក្តី|ឈ្នួល	ក・្・ត・ី・ឈ・្・ន・ួ・ល
ក្តីឈ្វិត	ក្តី|ឈ្វិត	ក・្・ត・ី・ឈ・្・វ・ិ・ត
ក្តីដូង	ក្តី|ដូង	ក・្・ត・ី・ដ・ូ・ង
ក្តីតាកុយ	ក្តី|តា|កុយ	ក・្・ត・ី・ត・ា・ក・ុ・យ
ក្តីតាចិន	ក្តី|តា|ចិន	ក・្・ត・ី・ត・ា・ច・ិ・ន
ក្តីតាហុក	ក្តី|តា|ហុក	ក・្・ត・ី・ត・ា・ហ・ុ・ក
ក្តីត្នោត	ក្តី|ត្នោត	ក・្・ត・ី・ត・្・ន・ោ・ត
ក្តីថ្ក	ក្តី|ថ្ក	ក・្・ត・ី・ថ・្・ក
ក្តីបឹង	ក្តី|បឹង	ក・្・ត・ី・ប・ឹ・ង
ក្តីមេត្តា	ក្តី|មេត្តា	ក・្・ត・ី・ម・េ・ត・្・ត・ា
ក្តីរុន	ក្តី|រុន	ក・្・ត・ី・រ・ុ・ន
ក្តីរំពឹង	ក្តី|រំពឹង	ក・្・ត・ី・រ・ំ・ព・ឹ・ង
ក្តីស្គា	ក្តី|ស្គា	ក・្・ត・ី・ស・្・គ・ា
ក្តីស្លា	ក្តី|ស្លា	ក・្・ត・ី・ស・្・ល・ា
ក្តឹប	ក្តឹប	ក・្・ត・ឹ・ប
ក្តុក	ក្តុក	ក・្・ត・ុ・ក
ក្តុកចិត្ត	ក្តុក|ចិត្ត	ក・្・ត・ុ・ក・ច・ិ・ត・្・ត
ក្តុម្ពី	ក្តុម្ពី	ក・្・ត・ុ・ម・្・ព・ី
ក្តុយ	ក្តុយ	ក・្・ត・ុ・យ
ក្តុល	ក្តុល	ក・្・ត・ុ・ល
ក្តុលក្រោម	ក្តុល|ក្រោម	ក・្・ត・ុ・ល・ក・្・រ・ោ・ម
ក្តុលជ្រំ	ក្តុល|ជ្រំ	ក・្・ត・ុ・ល・ជ・្・រ・ំ
ក្តុលដូនទាវ	ក្តុល|ដូន|ទាវ	ក・្・ត・ុ・ល・ដ・ូ・ន・ទ・ា・វ
ក្តុលតាហែន	ក្តុល|តា|ហែន	ក・្・ត・ុ・ល・ត・ា・ហ・ែ・ន
ក្តុលផ្សារ	ក្តុល|ផ្សារ	ក・្・ត・ុ・ល・ផ・្・ស・ា・រ
ក្តុលលើ	ក្តុល|លើ	ក・្・ត・ុ・ល・ល・ើ
ក្តួច	ក្តួច	ក・្・ត・ួ・ច
ក្តួល	ក្តួល	ក・្・ត・ួ・ល
ក្តួលក្តុក	ក្តួល|ក្តុក	ក・្・ត・ួ・ល・ក・្・ត・ុ・ក
ក្តួលក្តុក	ក្តួល|ក្តុក	ក・្・ត・ួ・ល・ក・្・ត・ុ・ក
ក្តឿងរាយ	ក្តឿង|រាយ	ក・្・ត・ឿ・ង・រ・ា・យ
