ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
ប្រាសាទអង្គរវត្ត	ប・្・រ・ា・ស・ា・ទ・អ・ង・្・គ・រ・វ・ត・្・ត
និរុត្តិ	ន・ិ・រ・ុ・ត・្・ត・ិ
ព្រួយចិត្ត	ព・្・រ・ួ・យ・ច・ិ・ត・្・ត
រាជប្រវត្តិ	រ・ា・ជ・ប・្・រ・វ・ត・្・ត・ិ
ក្តុកចិត្ត	ក・្・ត・ុ・ក・ច・ិ・ត・្・ត
សម្បត្តិគុណ	ស・ម・្・ប・ត・្・ត・ិ・គ・ុ・ណ
ស្រងាកចិត្ត	ស・្・រ・ង・ា・ក・ច・ិ・ត・្・ត
អត្តនោម័តិ	អ・ត・្・ត・ន・ោ・ម・័・ត・ិ
អាណិតមេត្តា	អ・ា・ណ・ិ・ត・ម・េ・ត・្・ត・ា
មិត្តរួមជំនាន់	ម・ិ・ត・្・ត・រ・ួ・ម・ជ・ំ・ន・ា・ន・់
ប្រតិបត្តិ	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
ក្បាលចិត្ត	ក・្・ប・ា・ល・ច・ិ・ត・្・ត
យាងឧត្តម	យ・ា・ង・ឧ・ត・្・ត・ម
បើកចិត្ត	ប・ើ・ក・ច・ិ・ត・្・ត
ឧត្តមសេនីយ៍	ឧ・ត・្・ត・ម・ស・េ・ន・ី・យ・៍
អត្តទត្ថបុគ្គល	អ・ត・្・ត・ទ・ត・្・ថ・ប・ុ・គ・្・គ・ល
ប្រព្រឹត្តិការណ៍	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
នក្ខត្ត	ន・ក・្・ខ・ត・្・ត
កត្តា	ក・ត・្・ត・ា
គ្រាកចិត្ត	គ・្・រ・ា・ក・ច・ិ・ត・្・ត
និវត្ត	ន・ិ・វ・ត・្・ត
យកចិត្តគេ	យ・ក・ច・ិ・ត・្・ត・គ・េ
វត្តដំណាក់	វ・ត・្・ត・ដ・ំ・ណ・ា・ក・់
សម្បត្តិធម្មជាតិ	ស・ម・្・ប・ត・្・ត・ិ・ធ・ម・្・ម・ជ・ា・ត・ិ
ជំងឺចិត្ត	ជ・ំ・ង・ឺ・ច・ិ・ត・្・ត
ទីរួមខេត្ត	ទ・ី・រ・ួ・ម・ខ・េ・ត・្・ត
អត្តទត្ថ	អ・ត・្・ត・ទ・ត・្・ថ
បែកចិត្ត	ប・ែ・ក・ច・ិ・ត・្・ត
ទាញចិត្ត	ទ・ា・ញ・ច・ិ・ត・្・ត
ចិត្ត	ច・ិ・ត・្・ត
ខ្លាចចិត្ត	ខ・្・ល・ា・ច・ច・ិ・ត・្・ត
ឧដុង្គឧត្តម	ឧ・ដ・ុ・ង・្・គ・ឧ・ត・្・ត・ម
មហាសម្បត្តិ	ម・ហ・ា・ស・ម・្・ប・ត・្・ត・ិ
និវត្តន៍	ន・ិ・វ・ត・្・ត・ន・៍
សុចិត្តា	ស・ុ・ច・ិ・ត・្・ត・ា
ទេវទត្ត	ទ・េ・វ・ទ・ត・្・ត
អត្តពលិក	អ・ត・្・ត・ព・ល・ិ・ក
ចិត្តស៊ូ	ច・ិ・ត・្・ត・ស・៊・ូ
ឧត្តរ	ឧ・ត・្・ត・រ
បញ្ញត្ត	ប・ញ・្・ញ・ត・្・ត
ក្រែងចិត្ត	ក・្・រ・ែ・ង・ច・ិ・ត・្・ត
ចិត្តតូច	ច・ិ・ត・្・ត・ត・ូ・ច
យកចិត្ត	យ・ក・ច・ិ・ត・្・ត
ឱត្តប្បៈ	ឱ・ត・្・ត・ប・្・ប・ៈ
យុត្តិ	យ・ុ・ត・្・ត・ិ
សត្តម	ស・ត・្・ត・ម
ចិត្តសាស្ត្រ	ច・ិ・ត・្・ត・ស・ា・ស・្・ត・្・រ
អត្តៈ	អ・ត・្・ត・ៈ
មិត្តរួមជាតិ	ម・ិ・ត・្・ត・រ・ួ・ម・ជ・ា・ត・ិ
ចិត្តសឿង	ច・ិ・ត・្・ត・ស・ឿ・ង
ឯកទត្ត	ឯ・ក・ទ・ត・្・ត
អន់ចិត្ត	អ・ន・់・ច・ិ・ត・្・ត
ឧត្តមសេនីយ	ឧ・ត・្・ត・ម・ស・េ・ន・ី・យ
