សម្តែង	ស・ម・្・ត・ែ・ង
ដូចម្តេច	ដ・ូ・ច・ម・្・ត・េ・ច
ថាម្តេច?	ថ・ា・ម・្・ត・េ・ច・?
ម្តាយ	ម・្・ត・ា・យ
សម្តេច	ស・ម・្・ត・េ・ច
ម្តេច	ម・្・ត・េ・ច
ផ្ទាល់តែម្តង	ផ・្・ទ・ា・ល・់・ត・ែ・ម・្・ត・ង
ម្តេចក្តី	ម・្・ត・េ・ច・ក・្・ត・ី
ត្នោតម្តើម	ត・្・ន・ោ・ត・ម・្・ត・ើ・ម
ម្តងៗ	ម・្・ត・ង・ៗ
កំពង់ម្តោក	ក・ំ・ព・ង・់・ម・្・ត・ោ・ក
ម្តងនេះ	ម・្・ត・ង・ន・េ・ះ
ហេតុដូចម្តេច	ហ・េ・ត・ុ・ដ・ូ・ច・ម・្・ត・េ・ច
ម្តាយក្មេក	ម・្・ត・ា・យ・ក・្・ម・េ・ក
ដូចម្តេចដែរ	ដ・ូ・ច・ម・្・ត・េ・ច・ដ・ែ・រ
ម្តុំ	ម・្・ត・ុ・ំ
ឪពុកម្តាយ	ឪ・ព・ុ・ក・ម・្・ត・ា・យ
អ្នកម្តាយ	អ・្・ន・ក・ម・្・ត・ា・យ
ម្តងម្កាល	ម・្・ត・ង・ម・្・ក・ា・ល
ថាដូចម្តេច	ថ・ា・ដ・ូ・ច・ម・្・ត・េ・ច
ហាំម្តាថា	ហ・ា・ំ・ម・្・ត・ា・ថ・ា
ធម្មជាតិសម្តេចតេជោហ៊ុនសែន	ធ・ម・្・ម・ជ・ា・ត・ិ・ស・ម・្・ត・េ・ច・ត・េ・ជ・ោ・ហ・៊・ុ・ន・ស・ែ・ន
សម្តេចឪ	ស・ម・្・ត・េ・ច・ឪ
ម្តង	ម・្・ត・ង
សម្តេចពាន់	ស・ម・្・ត・េ・ច・ព・ា・ន・់
ម្តងនោះ	ម・្・ត・ង・ន・ោ・ះ
សម្តី	ស・ម・្・ត・ី
ដូចម្តេចខ្លះ	ដ・ូ・ច・ម・្・ត・េ・ច・ខ・្・ល・ះ
តែម្តង	ត・ែ・ម・្・ត・ង
យ៉ាងដូចម្តេច	យ・៉・ា・ង・ដ・ូ・ច・ម・្・ត・េ・ច
