កេរ្តិ៍ឈ្មោះ	កេរ្តិ៍|ឈ្មោះ	ក・េ・រ・្・ត・ិ・៍・ឈ・្・ម・ោ・ះ
អន្រ្តេះ	អន្រ្តេះ	អ・ន・្・រ・្・ត・េ・ះ
ដូរ្យតន្រ្តី	ដូរ្យ|តន្រ្តី	ដ・ូ・រ・្・យ・ត・ន・្・រ・្・ត・ី
ភក្រ្ត	ភក្រ្ត	ភ・ក・្・រ・្・ត
កេរ្តិ៍	កេរ្តិ៍	ក・េ・រ・្・ត・ិ・៍
ធម្មកេរ្តិ៍	ធម្ម|កេរ្តិ៍	ធ・ម・្・ម・ក・េ・រ・្・ត・ិ・៍
សិល្បសាស្រ្ត	សិល្ប|សាស្រ្ត	ស・ិ・ល・្・ប・ស・ា・ស・្・រ・្・ត
បរិហារកេរ្តិ៍	បរិហារ|កេរ្តិ៍	ប・រ・ិ・ហ・ា・រ・ក・េ・រ・្・ត・ិ・៍
កន្រ្តប់	កន្រ្តប់	ក・ន・្・រ・្・ត・ប・់
សស្រ្តាវុធ	សស្រ្តាវុធ	ស・ស・្・រ・្・ត・ា・វ・ុ・ធ
ព្រះពស្រ្ត	ព្រះ|ពស្រ្ត	ព・្・រ・ះ・ព・ស・្・រ・្・ត
កេរ្តិ៍អាករ	កេរ្តិ៍|អាករ	ក・េ・រ・្・ត・ិ・៍・អ・ា・ក・រ
រាមកេរ្តិ៍	រាម|កេរ្តិ៍	រ・ា・ម・ក・េ・រ・្・ត・ិ・៍
ត្រពាំងមន្រ្តី	ត្រពាំង|មន្រ្តី	ត・្・រ・ព・ា・ំ・ង・ម・ន・្・រ・្・ត・ី
មន្រ្តី	មន្រ្តី	ម・ន・្・រ・្・ត・ី
កន្រ្តើយ	កន្រ្តើយ	ក・ន・្・រ・្・ត・ើ・យ
សុភ័ក្រ្ត	សុភ័ក្រ្ត	ស・ុ・ភ・័・ក・្・រ・្・ត
តាកេរ្តិ៍ថ្មី	តា|កេរ្តិ៍|ថ្មី	ត・ា・ក・េ・រ・្・ត・ិ・៍・ថ・្・ម・ី
តាកេរ្តិ៍	តា|កេរ្តិ៍	ត・ា・ក・េ・រ・្・ត・ិ・៍
ព្រះភ័ក្រ្ត	ព្រះ|ភ័ក្រ្ត	ព・្・រ・ះ・ភ・័・ក・្・រ・្・ត
ពេជ្រសុភ័ក្រ្តា	ពេជ្រ|សុភ័ក្រ្តា	ព・េ・ជ・្・រ・ស・ុ・ភ・័・ក・្・រ・្・ត・ា
ស្រែជើងរាស្រ្ត	ស្រែ|ជើង|រាស្រ្ត	ស・្・រ・ែ・ជ・ើ・ង・រ・ា・ស・្・រ・្・ត
សុភក្រ្ត	សុភក្រ្ត	ស・ុ・ភ・ក・្・រ・្・ត
សៃយសាស្រ្ត	សៃយ|សាស្រ្ត	ស・ៃ・យ・ស・ា・ស・្・រ・្・ត
កេរ្តិ៍ខ្មាស	កេរ្តិ៍|ខ្មាស	ក・េ・រ・្・ត・ិ・៍・ខ・្・ម・ា・ស
